CLASS,STNO,STnu,FLATPOSN,STNAME,POSTCODE,MONTH OF SALE,YEAR OF SALE (CALENDAR),YEAR OF SALE (BUSINESS),MONTH AND YEAR,QUARTER_(CALENDAR),ACTUAL PRICE AT POINT OF SALE,RPI,DEFLATOR,PRICE CONSTANT AT July 2013,ORIGINOFBUY,OMIT OR USE,NEWBUILD OR RESALE,LHF
R,55,,,"BRODIE DR,THE SIDINGS",G69 6ED,3,2012,2011/2012,01/03/2012,2012 Q1,159495,240.8,1.036960133,165389.96,GLASGOW,Use,NEW,Baillieston Shettleston
R,99,,,"BRODIE DR,THE SIDINGS",G69 6FB,3,2012,2011/2012,01/03/2012,2012 Q1,155995,240.8,1.036960133,161760.6,MOUNT VERNON,Use,NEW,Baillieston Shettleston
R,53,,,"BRODIE DR,THE SIDINGS",G69 6FB,3,2012,2011/2012,01/03/2012,2012 Q1,159495,240.8,1.036960133,165389.96,GLASGOW,Use,NEW,Baillieston Shettleston
R,65,,,"BRODIE DR,THE SIDINGS",G69 6FD,3,2012,2011/2012,01/03/2012,2012 Q1,166495,240.8,1.036960133,172648.68,GLASGOW,Use,NEW,Baillieston Shettleston
R,87,,,"BRODIE DR,THE SIDINGS",G69 6FD,3,2012,2011/2012,01/03/2012,2012 Q1,153495,240.8,1.036960133,159168.2,BAILLIESTON,Use,NEW,Baillieston Shettleston
R,95,,,"BROOMHOUSE CRES,KEEPERS G",G71 7RE,3,2012,2011/2012,01/03/2012,2012 Q1,294995,240.8,1.036960133,305898.05,GARTCOSH,Use,NEW,Baillieston Shettleston
R,120,,,"BROOMHOUSE CRES,KEEPERS G",G71 7PH,3,2012,2011/2012,01/03/2012,2012 Q1,244995,240.8,1.036960133,254050.05,GLASGOW,Use,NEW,Baillieston Shettleston
R,31,,,"GREENOAKHILL CT,THE AVES",G71 7PQ,3,2012,2011/2012,01/03/2012,2012 Q1,232500,240.8,1.036960133,241093.23,GLASGOW,Use,NEW,Baillieston Shettleston
R,4,,,"GREENOAKHILL GATE,THE AVES",G71 7PR,3,2012,2011/2012,01/03/2012,2012 Q1,214995,240.8,1.036960133,222941.24,GLASGOW,Use,NEW,Baillieston Shettleston
R,20,,,"BLACADER DR,ST CLEMENT",G69 8DG,1,2012,2011/2012,01/01/2012,2012 Q1,199000,238,1.049159664,208782.77,GLASGOW,Use,NEW,Baillieston Shettleston
R,27,,,"BLACADER DR,ST CLEMENT",G69 8DG,1,2012,2011/2012,01/01/2012,2012 Q1,199000,238,1.049159664,208782.77,KIRKINTILLOCH,Use,NEW,Baillieston Shettleston
R,36,,04-Jan,AFTON ST,G41 3BU,1,2012,2011/2012,01/01/2012,2012 Q1,150000,238,1.049159664,157373.95,GLASGOW,Use,NEW,Langside and Linn
R,490A,,12-May,"ARGYLE ST,THE ARGYLE BUIL",G2 8AN,1,2012,2011/2012,01/01/2012,2012 Q1,132773,238,1.049159664,139300.08,,Use,NEW,Central and West
R,490A,,13-Feb,"ARGYLE ST,THE ARGYLE BUIL",G2 8AN,1,2012,2011/2012,01/01/2012,2012 Q1,152000,238,1.049159664,159472.27,GLASGOW,Use,NEW,Central and West
R,490A,,14-Jun,"ARGYLE ST,THE ARGYLE BUIL",G2 8AN,1,2012,2011/2012,01/01/2012,2012 Q1,158264,238,1.049159664,166044.21,,Use,NEW,Central and West
R,7,,,"BARHOLM ST,THE BEECHES",G33 5EN,1,2012,2011/2012,01/01/2012,2012 Q1,109995,238,1.049159664,115402.32,COATBRIDGE,Use,NEW,Baillieston Shettleston
R,11,,,"BARHOLM ST,THE BEECHES",G33 5EN,1,2012,2011/2012,01/01/2012,2012 Q1,125000,238,1.049159664,131144.96,GLASGOW,Use,NEW,Baillieston Shettleston
R,49,,,"BARHOLM ST,THE BEECHES",G33 5EN,1,2012,2011/2012,01/01/2012,2012 Q1,125000,238,1.049159664,131144.96,GLASGOW,Use,NEW,Baillieston Shettleston
R,1,,05-May,"BARRLAND CT,SOUTHGATE",G41 1RN,1,2012,2011/2012,01/01/2012,2012 Q1,147950,238,1.049159664,155223.17,HYTHE,Use,NEW,Pollokshields and Southside Central
R,2A,,,BOWMONT GDNS,G12 9LR,1,2012,2011/2012,01/01/2012,2012 Q1,265000,238,1.049159664,278027.31,GLASGOW,Use,NEW,Central and West
R,2,,G/1,BOWMONT GDNS,G12 9LR,1,2012,2011/2012,01/01/2012,2012 Q1,280000,238,1.049159664,293764.71,BUCKIE,Use,NEW,Central and West
R,7A,,,BOWMONT GDNS,G12 9LR,1,2012,2011/2012,01/01/2012,2012 Q1,290000,238,1.049159664,304256.3,GLASGOW,Use,NEW,Central and West
R,12,,G/3,"CHESTERFIELD GDNS,GAINSBOR",G12 0BF,1,2012,2011/2012,01/01/2012,2012 Q1,275495,238,1.049159664,289038.24,GLASGOW,Use,NEW,Maryhill Kelvin and Canal
R,63,,02-Feb,"CRAIGEND CIRCUS,ROUTE 1 WEST",G13 2TY,1,2012,2011/2012,01/01/2012,2012 Q1,167500,238,1.049159664,175734.24,BEARSDEN,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,28,,,"CROFTCROIGHN DR,THE GLEN",G33 5JB,1,2012,2011/2012,01/01/2012,2012 Q1,162000,238,1.049159664,169963.87,BAILLIESTON,Use,NEW,Baillieston Shettleston
R,7,,,"CROFTCROIGHN GDNS,THE GLEN",G33 5JG,1,2012,2011/2012,01/01/2012,2012 Q1,194995,238,1.049159664,204580.89,GLASGOW,Use,NEW,Baillieston Shettleston
R,9,,,"CROFTCROIGHN GDNS,THE GLEN",G33 9JG,1,2012,2011/2012,01/01/2012,2012 Q1,194995,238,1.049159664,204580.89,GARTCOSH,Use,NEW,Baillieston Shettleston
R,18,,,"DERMONTSIDE CLOSE,THE ROWANS",G53 7ZT,1,2012,2011/2012,01/01/2012,2012 Q1,149000,238,1.049159664,156324.79,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,27,,,"DERMONTSIDE CLOSE,THE ROWANS",G53 7ZT,1,2012,2011/2012,01/01/2012,2012 Q1,150000,238,1.049159664,157373.95,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,3,,01-Jan,DUKE WYND,G4 0WX,1,2012,2011/2012,01/01/2012,2012 Q1,116000,238,1.049159664,121702.52,GLASGOW,Use,NEW,East Centre and Calton
R,91,,02-Feb,"ELDER ST,PARK CT",G51 3NJ,1,2012,2011/2012,01/01/2012,2012 Q1,95500,238,1.049159664,100194.75,GLASGOW,Use,NEW,Govan and Craigton
R,91,,02-Apr,"ELDER ST,PARK CT",G51 3NJ,1,2012,2011/2012,01/01/2012,2012 Q1,95000,238,1.049159664,99670.17,GLASGOW,Use,NEW,Govan and Craigton
R,91,,03-Apr,"ELDER ST,PARK CT",G51 3NJ,1,2012,2011/2012,01/01/2012,2012 Q1,96000,238,1.049159664,100719.33,PEACEHAVEN,Use,NEW,Govan and Craigton
R,701,,04-Mar,"GOVAN RD,THE GATEWAY",G51 2WW,1,2012,2011/2012,01/01/2012,2012 Q1,96500,238,1.049159664,101243.91,CLARKSTON,Use,NEW,Govan and Craigton
R,701,,04-Apr,"GOVAN RD,THE GATEWAY",G51 2WW,1,2012,2011/2012,01/01/2012,2012 Q1,97000,238,1.049159664,101768.49,PAISLEY,Use,NEW,Govan and Craigton
R,55,,01-Jan,"HARHILL ST,PARK CT",G51 3NL,1,2012,2011/2012,01/01/2012,2012 Q1,87000,238,1.049159664,91276.89,GLASGOW,Use,NEW,Govan and Craigton
R,55,,01-Feb,"HARHILL ST,PARK CT",G51 3NL,1,2012,2011/2012,01/01/2012,2012 Q1,89000,238,1.049159664,93375.21,GLASGOW,Use,NEW,Govan and Craigton
R,55,,02-Jan,"HARHILL ST,PARK CT",G51 3NL,1,2012,2011/2012,01/01/2012,2012 Q1,87000,238,1.049159664,91276.89,GLASGOW,Use,NEW,Govan and Craigton
R,55,,G/1,"HARHILL ST,PARK CT",G51 3NL,1,2012,2011/2012,01/01/2012,2012 Q1,83500,238,1.049159664,87604.83,GLASGOW,Use,NEW,Govan and Craigton
R,55,,G/2,"HARHILL ST,PARK CT",G51 3NL,1,2012,2011/2012,01/01/2012,2012 Q1,87000,238,1.049159664,91276.89,KILMAURS,Use,NEW,Govan and Craigton
R,10,,,"INVERLOCHY CRES,THE BEECH",G33 5ES,1,2012,2011/2012,01/01/2012,2012 Q1,151995,238,1.049159664,159467.02,GLASGOW,Use,NEW,Baillieston Shettleston
R,11,,02-Apr,KENT RD,G3 7EH,1,2012,2011/2012,01/01/2012,2012 Q1,136000,238,1.049159664,142685.71,GLASGOW,Use,NEW,Central and West
R,11,,03-Oct,KENT RD,G3 7EH,1,2012,2011/2012,01/01/2012,2012 Q1,125000,238,1.049159664,131144.96,GLASGOW,Use,NEW,Central and West
R,31,,,"KERRY PL,GASKIN VIEW",G15 8BY,1,2012,2011/2012,01/01/2012,2012 Q1,92000,238,1.049159664,96522.69,MILNGAVIE,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
