CLASS,STNO,STnu,FLATPOSN,STNAME,POSTCODE,MONTH OF SALE,YEAR OF SALE (CALENDAR),YEAR OF SALE (BUSINESS),MONTH AND YEAR,QUARTER_(CALENDAR),ACTUAL PRICE AT POINT OF SALE,RPI,DEFLATOR,PRICE CONSTANT AT July 2013,ORIGINOFBUY,OMIT OR USE,NEWBUILD OR RESALE,LHF
R,36,,G/2,"REIDVALE ST,REIDVALE CT",G31 1SZ,2,2007,2006/2007,2007-02-01,2007 Q1,109429,203.1,1.229443624,134536.79,GIFFNOCK,Use,NEW,East Centre and Calton
R,,,,ROUTE 1 WEST,G13,1,2007,2006/2007,2007-01-01,2007 Q1,186000,201.6,1.23859127,230377.98,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,,,,ROUTE 1 WEST,G13,1,2007,2006/2007,2007-01-01,2007 Q1,173500,201.6,1.23859127,214895.59,RUTHERGLEN,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,,,,ROUTE 1 WEST,G13,1,2007,2006/2007,2007-01-01,2007 Q1,185000,201.6,1.23859127,229139.38,RUTHERGLEN,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,,,,ROUTE 1 WEST,G13,1,2007,2006/2007,2007-01-01,2007 Q1,315000,201.6,1.23859127,390156.25,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,,,,THE BEECHES,G33,1,2007,2006/2007,2007-01-01,2007 Q1,150000,201.6,1.23859127,185788.69,,Use,NEW,Baillieston Shettleston
R,,,F3,THE METROPOLE,G1,1,2007,2006/2007,2007-01-01,2007 Q1,215000,201.6,1.23859127,266297.12,GLASGOW,Use,NEW,Central and West
R,145,,Jan-20,"ALBION ST,THE HERALD BUIL",G1 1QS,1,2007,2006/2007,2007-01-01,2007 Q1,173850,201.6,1.23859127,215329.09,CHICHESTER,Use,NEW,Central and West
R,145,,Jan-15,"ALBION ST,THE HERALD BUIL",G1 1QS,1,2007,2006/2007,2007-01-01,2007 Q1,199500,201.6,1.23859127,247098.96,HAVANT,Use,NEW,Central and West
R,145,,02-Jan,"ALBION ST,THE HERALD BUIL",G1 1QS,1,2007,2006/2007,2007-01-01,2007 Q1,228000,201.6,1.23859127,282398.81,CHICHESTER,Use,NEW,Central and West
R,145,,Feb-17,"ALBION ST,THE HERALD BUIL",G1 1QS,1,2007,2006/2007,2007-01-01,2007 Q1,156750,201.6,1.23859127,194149.18,WEST LAVANT,Use,NEW,Central and West
R,145,,Mar-19,"ALBION ST,THE HERALD BUIL",G1 1QS,1,2007,2006/2007,2007-01-01,2007 Q1,156750,201.6,1.23859127,194149.18,BECKENHAM,Use,NEW,Central and West
R,145,,Mar-21,"ALBION ST,THE HERALD BUIL",G1 1QS,1,2007,2006/2007,2007-01-01,2007 Q1,159600,201.6,1.23859127,197679.17,WEST LAVANT,Use,NEW,Central and West
R,145,,03-May,"ALBION ST,THE HERALD BUIL",G1 1QS,1,2007,2006/2007,2007-01-01,2007 Q1,161500,201.6,1.23859127,200032.49,CHICHESTER,Use,NEW,Central and West
R,145,,05-Mar,"ALBION ST,THE HERALD BUIL",G1 1QT,1,2007,2006/2007,2007-01-01,2007 Q1,160550,201.6,1.23859127,198855.83,WATERLOOVILLE,Use,NEW,Central and West
R,145,,G/3,"ALBION ST,THE HERALD BUIL",G1 1QS,1,2007,2006/2007,2007-01-01,2007 Q1,142500,201.6,1.23859127,176499.26,LEE-ON-THE-SOLENT,Use,NEW,Central and West
