CLASS,STNO,STnu,FLATPOSN,STNAME,POSTCODE,MONTH OF SALE,YEAR OF SALE (CALENDAR),YEAR OF SALE (BUSINESS),MONTH AND YEAR,QUARTER_(CALENDAR),ACTUAL PRICE AT POINT OF SALE,RPI,DEFLATOR,PRICE CONSTANT AT July 2013,ORIGINOFBUY,OMIT OR USE,NEWBUILD OR RESALE,LHF
R,,,,FESTIVAL PARK,G51,1,2000,1999/2000,2000-01-01,2000 Q1,55995,166.6,1.49879952,ﾣ83925.28,GOUROCK,Use,NEW,Govan and Craigton
R,1,,1/S,"ASHWOOD GDNS,LOMOND VIEW",G13 1NX,1,2000,1999/2000,2000-01-01,2000 Q1,102000,166.6,1.49879952,ﾣ152877.55,MILNGAVIE,Use,NEW,Central and West
R,55,,,"ALEXANDER CRES,CALEDONIA GDNS",G5 0SL,1,2000,1999/2000,2000-01-01,2000 Q1,82000,166.6,1.49879952,ﾣ122901.56,GLASGOW,Use,NEW,Pollokshields and Southside Central
R,48,,1/R,"APSLEY ST,TIVOLI CT",G11 7SW,1,2000,1999/2000,2000-01-01,2000 Q1,74500,166.6,1.49879952,ﾣ111660.56,GLASGOW,Use,NEW,Central and West
R,48,,2/L,"APSLEY ST,TIVOLI CT",G11 7SW,1,2000,1999/2000,2000-01-01,2000 Q1,79750,166.6,1.49879952,ﾣ119529.26,GLASGOW,Use,NEW,Central and West
R,48,,3/S,"APSLEY ST,TIVOLI CT",G11 7SW,1,2000,1999/2000,2000-01-01,2000 Q1,77950,166.6,1.49879952,ﾣ116831.42,GLASGOW,Use,NEW,Central and West
R,48,,G/L,"APSLEY ST,TIVOLI CT",G11 7SW,1,2000,1999/2000,2000-01-01,2000 Q1,73250,166.6,1.49879952,ﾣ109787.06,GLASGOW,Use,NEW,Central and West
R,50,,,"APSLEY ST,TIVOLI CT",G11 7SW,1,2000,1999/2000,2000-01-01,2000 Q1,75950,166.6,1.49879952,ﾣ113833.82,BURRELTON,Use,NEW,Central and West
R,50,,01-Feb,"APSLEY ST,TIVOLI CT",G11 7SW,1,2000,1999/2000,2000-01-01,2000 Q1,74250,166.6,1.49879952,ﾣ111285.86,BOTHWELL,Use,NEW,Central and West
R,50,,02-Feb,"APSLEY ST,TIVOLI CT",G11 7SW,1,2000,1999/2000,2000-01-01,2000 Q1,74750,166.6,1.49879952,ﾣ112035.26,FORRES,Use,NEW,Central and West
R,50,,03-Feb,"APSLEY ST,TIVOLI CT",G11 7SW,1,2000,1999/2000,2000-01-01,2000 Q1,75250,166.6,1.49879952,ﾣ112784.66,GLASGOW,Use,NEW,Central and West
R,50,,G/2,"APSLEY ST,TIVOLI CT",G11 7SW,1,2000,1999/2000,2000-01-01,2000 Q1,66750,166.6,1.49879952,ﾣ100044.87,GLASGOW,Use,NEW,Central and West
R,50,,G/N,"APSLEY ST,TIVOLI CT",G11 7SW,1,2000,1999/2000,2000-01-01,2000 Q1,66750,166.6,1.49879952,ﾣ100044.87,GLASGOW,Use,NEW,Central and West
R,1,,1/L,"ASHWOOD GDNS,LOMOND VIEW",G13 1NX,1,2000,1999/2000,2000-01-01,2000 Q1,144000,166.6,1.49879952,ﾣ215827.13,GLASGOW,Use,NEW,Central and West
R,1,,1/R,"ASHWOOD GDNS,LOMOND VIEW",G13 1NX,1,2000,1999/2000,2000-01-01,2000 Q1,124000,166.6,1.49879952,ﾣ185851.14,GLASGOW,Use,NEW,Central and West
R,1,,02-Feb,"ASHWOOD GDNS,LOMOND VIEW",G13 1NX,1,2000,1999/2000,2000-01-01,2000 Q1,106000,166.6,1.49879952,ﾣ158872.75,MILNGAVIE,Use,NEW,Central and West
R,1,,G/L,"ASHWOOD GDNS,LOMOND VIEW",G13 1NX,1,2000,1999/2000,2000-01-01,2000 Q1,140000,166.6,1.49879952,ﾣ209831.93,GLASGOW,Use,NEW,Central and West
R,1,,G/R,"ASHWOOD GDNS,LOMOND VIEW",G13 1NX,1,2000,1999/2000,2000-01-01,2000 Q1,120000,166.6,1.49879952,ﾣ179855.94,GLASGOW,Use,NEW,Central and West
R,1,,,"AUCHENBOTHIE PL,ORCHARD PARK",G33 1GH,1,2000,1999/2000,2000-01-01,2000 Q1,71750,166.6,1.49879952,ﾣ107538.87,GLASGOW,Use,NEW,Springburn
