CLASS,STNO,STnu,FLATPOSN,STNAME,POSTCODE,MONTH OF SALE,YEAR OF SALE (CALENDAR),YEAR OF SALE (BUSINESS),MONTH AND YEAR,QUARTER_(CALENDAR),ACTUAL PRICE AT POINT OF SALE,RPI,DEFLATOR,PRICE CONSTANT AT July 2013,ORIGINOFBUY,OMIT OR USE,NEWBUILD OR RESALE,LHF
R,40,,01-Mar,"HELENVALE ST,PARKVIEW CT",G31 4TF,1,1997,1996/1997,1997-01-01,1997 Q1,29900,154.4,1.617227979,48355.12,GLASGOW,Use,NEW,East Centre and Calton
R,07-Mar,,,"PARSONAGE SQ,HUNTER HOUSE",G4 0TA,1,1997,1996/1997,1997-01-01,1997 Q1,71000,154.4,1.617227979,114823.19,GLASGOW,Use,NEW,East Centre and Calton
R,144,,,"BRIARCROFT RD,KINGS MEADOW",G33 1RH,1,1997,1996/1997,1997-01-01,1997 Q1,73450,154.4,1.617227979,118785.4,GLASGOW,Use,NEW,Springburn
R,23,,,"POLQUHAP RD,THORNCROFT PARK",G53 7FL,1,1997,1996/1997,1997-01-01,1997 Q1,59995,154.4,1.617227979,97025.59,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,18,,02-Feb,"OBAN DR,NORTH KELVINSIDE GDNS",G20 6AF,1,1997,1996/1997,1997-01-01,1997 Q1,65495,154.4,1.617227979,105920.35,EAST KILBRIDE,Use,NEW,Maryhill Kelvin and Canal
R,2,,03-Apr,"ST ANDREWS SQ,NAISMITH BLDG",G1 5PP,1,1997,1996/1997,1997-01-01,1997 Q1,56000,154.4,1.617227979,90564.77,EAST KILBRIDE,Use,NEW,East Centre and Calton
R,10,,07-Feb,"MAVISBANK GDNS,FESTIVAL PARK",G51 1HG,1,1997,1996/1997,1997-01-01,1997 Q1,85000,154.4,1.617227979,137464.38,HOUSTON,Use,NEW,Govan and Craigton
R,174,,,"BRIARCROFT RD,KINGS MEADOW",G33 1RH,1,1997,1996/1997,1997-01-01,1997 Q1,65500,154.4,1.617227979,105928.43,GLASGOW,Use,NEW,Springburn
R,64,,2/L,"BULLDALE ST,QUAYSIDE",G14,1,1997,1996/1997,1997-01-01,1997 Q1,46200,154.4,1.617227979,74715.93,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,2,,01-Mar,"ST ANDREWS SQ,NAISMITH BLDG",G1 5PP,1,1997,1996/1997,1997-01-01,1997 Q1,50500,154.4,1.617227979,81670.01,GLASGOW,Use,NEW,East Centre and Calton
