CLASS,STNO,STnu,FLATPOSN,STNAME,POSTCODE,MONTH OF SALE,YEAR OF SALE (CALENDAR),YEAR OF SALE (BUSINESS),MONTH AND YEAR,QUARTER_(CALENDAR),ACTUAL PRICE AT POINT OF SALE,RPI,DEFLATOR,PRICE CONSTANT AT July 2013,ORIGINOFBUY,OMIT OR USE,NEWBUILD OR RESALE,LHF
R,36,,01-Feb,"AFTON ST,PARKSIDE",G41 3BU,1,2009,2008/2009,2009-01-01,2009 Q1,155250,210.1,1.188481675,184511.78,GLASGOW,Use,NEW,Langside and Linn
R,36,,03-Jan,"AFTON ST,PARKSIDE",G41 3BU,1,2009,2008/2009,2009-01-01,2009 Q1,137250,210.1,1.188481675,163119.11,CLARKSTON,Use,NEW,Langside and Linn
R,36,,05-Mar,"AFTON ST,PARKSIDE",G41 3BU,1,2009,2008/2009,2009-01-01,2009 Q1,170000,210.1,1.188481675,202041.88,CARMUNNOCK,Use,NEW,Langside and Linn
R,205,,05-Jul,"ALBION ST,HEADLINE BUILDI",G1 1RU,1,2009,2008/2009,2009-01-01,2009 Q1,171000,210.1,1.188481675,203230.37,ARDROSSAN,Use,NEW,Central and West
R,205,,07-Apr,"ALBION ST,HEADLINE BUILDI",G1 1RU,1,2009,2008/2009,2009-01-01,2009 Q1,182000,210.1,1.188481675,216303.66,ROY BRIDGE,Use,NEW,Central and West
R,205,,07-May,"ALBION ST,HEADLINE BUILDI",G1 1RU,1,2009,2008/2009,2009-01-01,2009 Q1,185000,210.1,1.188481675,219869.11,CANADA,Use,NEW,Central and West
R,181,,1/L,"AUCHENTOSHAN TER,PETERSHI",G21 4UA,1,2009,2008/2009,2009-01-01,2009 Q1,105000,210.1,1.188481675,124790.58,HAMILTON,Use,NEW,Springburn
R,181,,1/R,"AUCHENTOSHAN TER,PETERSHI",G21 4UA,1,2009,2008/2009,2009-01-01,2009 Q1,105000,210.1,1.188481675,124790.58,TORRANCE,Use,NEW,Springburn
R,191,,G/R,"AUCHENTOSHAN TER,PETERSHI",G21 4UA,1,2009,2008/2009,2009-01-01,2009 Q1,105000,210.1,1.188481675,124790.58,GLASGOW,Use,NEW,Springburn
R,47,,01-Mar,"CATHKIN RD,THE HEIGHTS",G42 9UJ,1,2009,2008/2009,2009-01-01,2009 Q1,238000,210.1,1.188481675,282858.64,GLASGOW,Use,NEW,Langside and Linn
R,47,,G/2,"CATHKIN RD,THE HEIGHTS",G42 9UJ,1,2009,2008/2009,2009-01-01,2009 Q1,150000,210.1,1.188481675,178272.25,BEARSDEN,Use,NEW,Langside and Linn
R,4,,,"CHESTERFIELD GDNS,GAINSBOR",G12 0BF,1,2009,2008/2009,2009-01-01,2009 Q1,368101,210.1,1.188481675,437481.29,READING,Use,NEW,Maryhill Kelvin and Canal
R,107,,3/L,"COOK ST,WESTBRIDGE GDNS",G5 8JQ,1,2009,2008/2009,2009-01-01,2009 Q1,114000,210.1,1.188481675,135486.91,DARNLEY,Use,NEW,Govan and Craigton
R,25,,,"CRAIGIEVAR AVE,THE BEECHES",G33 5DF,1,2009,2008/2009,2009-01-01,2009 Q1,135000,210.1,1.188481675,160445.03,GLASGOW,Use,NEW,Baillieston Shettleston
R,31,,,"CRAIGIEVAR AVE,THE BEECHES",G33 5DF,1,2009,2008/2009,2009-01-01,2009 Q1,130000,210.1,1.188481675,154502.62,GLASGOW,Use,NEW,Baillieston Shettleston
R,6,,,"CROFTCROIGHN DR,THE GLEN",G33 5JB,1,2009,2008/2009,2009-01-01,2009 Q1,174000,210.1,1.188481675,206795.81,GLASGOW,Use,NEW,Baillieston Shettleston
