CLASS,STNO,STnu,FLATPOSN,STNAME,POSTCODE,MONTH OF SALE,YEAR OF SALE (CALENDAR),YEAR OF SALE (BUSINESS),MONTH AND YEAR,QUARTER_(CALENDAR),ACTUAL PRICE AT POINT OF SALE,RPI,DEFLATOR,PRICE CONSTANT AT July 2013,ORIGINOFBUY,OMIT OR USE,NEWBUILD OR RESALE,LHF
R,,,,GREAT WESTERN CT,G4,1,1999,1998/1999,1999-01-01,1999 Q1,66500,163.4,1.528151775,101622.09,BEARSDEN,Use,NEW,Central and West
R,,,,LAURIESTON SQ,G5,1,1999,1998/1999,1999-01-01,1999 Q1,49950,163.4,1.528151775,76331.18,GLASGOW,Use,NEW,Pollokshields and Southside Central
R,,,,FESTIVAL PARK,G51,1,1999,1998/1999,1999-01-01,1999 Q1,51995,163.4,1.528151775,79456.25,BEARSDEN,Use,NEW,Govan and Craigton
R,,,,WINDSOR PARK,G53,1,1999,1998/1999,1999-01-01,1999 Q1,173995,163.4,1.528151775,265890.77,AYR,Use,NEW,Greater Pollok and Newlands Auldburn
R,,,,GREAT WESTERN CT,G4,1,1999,1998/1999,1999-01-01,1999 Q1,66500,163.4,1.528151775,101622.09,GLASGOW,Use,NEW,Central and West
R,,,G/N,FESTIVAL PARK,G51,1,1999,1998/1999,1999-01-01,1999 Q1,58750,163.4,1.528151775,89778.92,LIVINGSTON,Use,NEW,Govan and Craigton
R,,,G/S,FESTIVAL PARK,G51,1,1999,1998/1999,1999-01-01,1999 Q1,58750,163.4,1.528151775,89778.92,GLASGOW,Use,NEW,Govan and Craigton
R,88,,,"ALBION ST,GREYFRIARS CT",G1 1NY,1,1999,1998/1999,1999-01-01,1999 Q1,84500,163.4,1.528151775,129128.83,GLASGOW,Use,NEW,Central and West
R,15,,,"ALEXANDER CRES,LAURIESTON SQ",G5 0SL,1,1999,1998/1999,1999-01-01,1999 Q1,75950,163.4,1.528151775,116063.13,GLASGOW,Use,NEW,Pollokshields and Southside Central
R,14,,,"ASCOT AVE,WESTERLANDS PARK",G12 0AX,1,1999,1998/1999,1999-01-01,1999 Q1,127950,163.4,1.528151775,195527.02,GLASGOW,Use,NEW,Maryhill Kelvin and Canal
R,18,,,"ASCOT AVE,WESTERLANDS PARK",G12 0AX,1,1999,1998/1999,1999-01-01,1999 Q1,116450,163.4,1.528151775,177953.27,GLASGOW,Use,NEW,Maryhill Kelvin and Canal
R,20,,,"ASCOT AVE,WESTERLANDS PARK",G12 0AX,1,1999,1998/1999,1999-01-01,1999 Q1,133950,163.4,1.528151775,204695.93,GLASGOW,Use,NEW,Maryhill Kelvin and Canal
R,212,,,BATH ST,G2 4HR,1,1999,1998/1999,1999-01-01,1999 Q1,93000,163.4,1.528151775,142118.12,PAISLEY,Use,NEW,Central and West
R,23,,,"BORTHWICK ST,HAZEL GR",G33 3UU,1,1999,1998/1999,1999-01-01,1999 Q1,45950,163.4,1.528151775,70218.57,GLASGOW,Use,NEW,Baillieston Shettleston
R,30,,2/E,"BORTHWICK ST,HAZEL GR",G33 3UU,1,1999,1998/1999,1999-01-01,1999 Q1,31500,163.4,1.528151775,48136.78,GLASGOW,Use,NEW,Baillieston Shettleston
R,68,,,"BRENT RD,REGENTS PARK",G46 8JG,1,1999,1998/1999,1999-01-01,1999 Q1,75495,163.4,1.528151775,115367.82,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,8,,,"BROOKFIELD AVE,BROOKFIELDS",G33 1SD,1,1999,1998/1999,1999-01-01,1999 Q1,58000,163.4,1.528151775,88632.8,GLASGOW,Use,NEW,Springburn
R,16,,,"BROOKFIELD AVE,CAMPSIE RISE",G33 1SD,1,1999,1998/1999,1999-01-01,1999 Q1,111995,163.4,1.528151775,171145.36,GLASGOW,Use,NEW,Springburn
