CLASS,STNO,STnu,FLATPOSN,STNAME,POSTCODE,MONTH OF SALE,YEAR OF SALE (CALENDAR),YEAR OF SALE (BUSINESS),MONTH AND YEAR,QUARTER_(CALENDAR),ACTUAL PRICE AT POINT OF SALE,RPI,DEFLATOR,PRICE CONSTANT AT July 2013,ORIGINOFBUY,OMIT OR USE,NEWBUILD OR RESALE,LHF
R,10,,3/,QUAYSIDE CRES,G13,1,1993,1992/1993,1993-01-01,1993 Q1,46095,137.9,1.810732415,83465.71,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,,,,LORNE GAIT,G51,1,1993,1992/1993,1993-01-01,1993 Q1,37700,137.9,1.810732415,68264.61,PAISLEY,Use,NEW,Govan and Craigton
R,9,,,"HOLLY DR,FORESTHALL PARK",g21 4eq,1,1993,1992/1993,1993-01-01,1993 Q1,58350,137.9,1.810732415,105656.24,GLASGOW,Use,NEW,Springburn
R,306,,,SPRINGBURN RD,g21 1rx,1,1993,1992/1993,1993-01-01,1993 Q1,40500,137.9,1.810732415,73334.66,GLASGOW,Use,NEW,Springburn
R,20,,01-Mar,CLAYTHORN ST,G40,1,1993,1992/1993,1993-01-01,1993 Q1,31600,137.9,1.810732415,57219.14,GLASGOW,Use,NEW,East Centre and Calton
R,,,,LORNE GAIT,G51,1,1993,1992/1993,1993-01-01,1993 Q1,39200,137.9,1.810732415,70980.71,GLASGOW,Use,NEW,Govan and Craigton
R,46/8,,,"AYR ST,HYDE PARK",G21 4BW,1,1993,1992/1993,1993-01-01,1993 Q1,45500,137.9,1.810732415,82388.32,MILNGAVIE,Use,NEW,Springburn
R,,,,SPRINGHILL,G69,1,1993,1992/1993,1993-01-01,1993 Q1,92000,137.9,1.810732415,166587.38,CAMBUSLANG,Use,NEW,Baillieston Shettleston
R,214,,,"MUIRSHIEL CRES,ARBOUR GROVE",G53,1,1993,1992/1993,1993-01-01,1993 Q1,43225,137.9,1.810732415,78268.91,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,11,,,"CALDERWOOD GDNS,ROWANBANK",G69 7EA,1,1993,1992/1993,1993-01-01,1993 Q1,62995,137.9,1.810732415,114067.09,BAILLIESTON,Use,NEW,Baillieston Shettleston
R,02-May,,,PARSONAGE SQ,G4 0TA,1,1993,1992/1993,1993-01-01,1993 Q1,59500,137.9,1.810732415,107738.58,GLASGOW,Use,NEW,East Centre and Calton
R,,,,LORNE GAIT,G51,1,1993,1992/1993,1993-01-01,1993 Q1,39200,137.9,1.810732415,70980.71,CUMBERNAULD,Use,NEW,Govan and Craigton
R,2,,,RHINDMUIR GDNS,g69 6nh,1,1993,1992/1993,1993-01-01,1993 Q1,59000,137.9,1.810732415,106833.21,GLASGOW,Use,NEW,Baillieston Shettleston
R,51,,,RHINDMUIR DR,g69 6nd,1,1993,1992/1993,1993-01-01,1993 Q1,24650,137.9,1.810732415,44634.55,BAILLIESTON,Use,NEW,Baillieston Shettleston
R,34,,,RHINDMUIR RD,G69,1,1993,1992/1993,1993-01-01,1993 Q1,59000,137.9,1.810732415,106833.21,BAILLIESTON,Use,NEW,Baillieston Shettleston
R,,,,ROWANBANK,G69,1,1993,1992/1993,1993-01-01,1993 Q1,74995,137.9,1.810732415,135795.88,GLASGOW,Use,NEW,Baillieston Shettleston
R,57,,,RHINDMUIR DR,g69 6nd,1,1993,1992/1993,1993-01-01,1993 Q1,64450,137.9,1.810732415,116701.7,GLASGOW,Use,NEW,Baillieston Shettleston
R,70,,,"MILLER ST,VIRGINIA CT",G1 1DT,1,1993,1992/1993,1993-01-01,1993 Q1,42000,137.9,1.810732415,76050.76,GLASGOW,Use,NEW,Central and West
R,,,,SPRINGHILL,G69,1,1993,1992/1993,1993-01-01,1993 Q1,53995,137.9,1.810732415,97770.5,HAMILTON,Use,NEW,Baillieston Shettleston
