CLASS,STNO,STnu,FLATPOSN,STNAME,POSTCODE,MONTH OF SALE,YEAR OF SALE (CALENDAR),YEAR OF SALE (BUSINESS),MONTH AND YEAR,QUARTER_(CALENDAR),ACTUAL PRICE AT POINT OF SALE,RPI,DEFLATOR,PRICE CONSTANT AT July 2013,ORIGINOFBUY,OMIT OR USE,NEWBUILD OR RESALE,LHF
R,52,,,"LOUDEN HILL RD,ORCHARD PARK",G33 1GA,1,1998,1997/1998,1998-01-01,1998 Q1,70250,159.5,1.565517241,109977.59,GLASGOW,Use,NEW,Springburn
R,15,,1/S,"TEMPLE LOCKS PL,THE LOCKS",G13 1JW,1,1998,1997/1998,1998-01-01,1998 Q1,55950,159.5,1.565517241,87590.69,MILNGAVIE,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,15,,G/N,"TEMPLE LOCKS PL,THE LOCKS",G13 1JW,1,1998,1997/1998,1998-01-01,1998 Q1,55250,159.5,1.565517241,86494.83,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,15,,T/S,"TEMPLE LOCKS PL,THE LOCKS",G13 1JW,1,1998,1997/1998,1998-01-01,1998 Q1,55950,159.5,1.565517241,87590.69,NEWTON MEARNS,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,11,,,"BORTHWICK ST,HAZEL GR",G33 3UU,1,1998,1997/1998,1998-01-01,1998 Q1,36750,159.5,1.565517241,57532.76,GLASGOW,Use,NEW,Baillieston Shettleston
R,7,,,"BORTHWICK ST,HAZEL GR",G33 3UU,1,1998,1997/1998,1998-01-01,1998 Q1,36750,159.5,1.565517241,57532.76,BLANTYRE,Use,NEW,Baillieston Shettleston
R,35,,,"KELBOURNE ST,KELVIN SQ",G20 8PF,1,1998,1997/1998,1998-01-01,1998 Q1,77950,159.5,1.565517241,122032.07,,Use,NEW,Maryhill Kelvin and Canal
R,35,,,"KELBOURNE ST,KELVIN SQ",G20 8PF,1,1998,1997/1998,1998-01-01,1998 Q1,77950,159.5,1.565517241,122032.07,,Use,NEW,Maryhill Kelvin and Canal
R,2A,,,HUGHENDEN GDNS,G12 9XW,1,1998,1997/1998,1998-01-01,1998 Q1,210000,159.5,1.565517241,328758.62,GLASGOW,Use,NEW,Central and West
R,135,,,"BRIARCROFT DR,BRIARCROFT",G33 1RD,1,1998,1997/1998,1998-01-01,1998 Q1,68500,159.5,1.565517241,107237.93,GLASGOW,Use,NEW,Springburn
R,21,,1/L,"CALLANDER ST,IONA PARK",G20 7JZ,1,1998,1997/1998,1998-01-01,1998 Q1,68950,159.5,1.565517241,107942.41,HONG KONG,Use,NEW,Central and West
R,,,,BRIAR GATE,G43,1,1998,1997/1998,1998-01-01,1998 Q1,112500,159.5,1.565517241,176120.69,RUTHERGLEN,Use,NEW,Greater Pollok and Newlands Auldburn
R,15,,,"BRIARCROFT RD,BRIARCROFT",G33 1RA,1,1998,1997/1998,1998-01-01,1998 Q1,69995,159.5,1.565517241,109578.38,GLASGOW,Use,NEW,Springburn
R,83B,,G/R,"TITWOOD RD,THE WICKETS",G41 2DG,1,1998,1997/1998,1998-01-01,1998 Q1,72000,159.5,1.565517241,112717.24,GLASGOW,Use,NEW,Pollokshields and Southside Central
R,47,,1/L,"NOVAR DR,LAUDERDALE MANSIONS",G12 9UB,1,1998,1997/1998,1998-01-01,1998 Q1,120000,159.5,1.565517241,187862.07,BEARSDEN,Use,NEW,Central and West
R,5,,G/E,"KNIGHTSWOOD CT,HERMITAGE CT",G13 2XN,1,1998,1997/1998,1998-01-01,1998 Q1,70500,159.5,1.565517241,110368.97,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,15,,G/S,"TEMPLE LOCKS PL,THE LOCKS",G13 1JW,1,1998,1997/1998,1998-01-01,1998 Q1,55250,159.5,1.565517241,86494.83,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,114,,,"BALORNOCK RD,ASHWOOD PARK",G21 3UJ,1,1998,1997/1998,1998-01-01,1998 Q1,81245,159.5,1.565517241,127190.45,GLASGOW,Use,NEW,Springburn
R,7,,,"BARNESS PL,PARKVIEW",G33 3GF,1,1998,1997/1998,1998-01-01,1998 Q1,65000,159.5,1.565517241,101758.62,GLASGOW,Use,NEW,East Centre and Calton
R,27,,,"COLL ST,BIRCHLAND",G21 2BH,1,1998,1997/1998,1998-01-01,1998 Q1,44500,159.5,1.565517241,69665.52,GLASGOW,Use,NEW,Springburn
R,203,,,"BRIARCROFT DR,MURRONS LEA",G33 1RJ,1,1998,1997/1998,1998-01-01,1998 Q1,85000,159.5,1.565517241,133068.97,GLASGOW,Use,NEW,Springburn
R,11,,,"BRIARCROFT RD,BRIARCROFT",G33 1RA,1,1998,1997/1998,1998-01-01,1998 Q1,76995,159.5,1.565517241,120537,ERSKINE,Use,NEW,Springburn
R,6,,,HAZEL GROVE,G33 3,1,1998,1997/1998,1998-01-01,1998 Q1,29950,159.5,1.565517241,46887.24,GLASGOW,Use,NEW,Baillieston Shettleston
R,35,,,"KELBOURNE ST,KELVIN SQ",G20 8PF,1,1998,1997/1998,1998-01-01,1998 Q1,89500,159.5,1.565517241,140113.79,GLASGOW,Use,NEW,Maryhill Kelvin and Canal
R,40,,,"DALMELLINGTON RD,BEECHGROVE",G53 7FA,1,1998,1997/1998,1998-01-01,1998 Q1,72995,159.5,1.565517241,114274.93,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,143,,,"YORKHILL ST,KELVIN GATE",G3 8NS,1,1998,1997/1998,1998-01-01,1998 Q1,55000,159.5,1.565517241,86103.45,BLANEFIELD,Use,NEW,Central and West
