CLASS,STNO,STnu,FLATPOSN,STNAME,POSTCODE,MONTH OF SALE,YEAR OF SALE (CALENDAR),YEAR OF SALE (BUSINESS),MONTH AND YEAR,QUARTER_(CALENDAR),ACTUAL PRICE AT POINT OF SALE,RPI,DEFLATOR,PRICE CONSTANT AT July 2013,ORIGINOFBUY,OMIT OR USE,NEWBUILD OR RESALE,LHF
R,109,,,"OLD RUTHERGLEN RD,BALLATER",G5 0RE,1,1996,1995/1996,1996-01-01,1996 Q1,45500,150.2,1.662450067,75641.48,GLASGOW,Use,NEW,Pollokshields and Southside Central
R,7,,,"DORMANSIDE GATE,MURRAY PARK",G53 5YY,1,1996,1995/1996,1996-01-01,1996 Q1,43995,150.2,1.662450067,73139.49,GLASGOW,Use,NEW,Govan and Craigton
R,6,,,"SCARREL GDNS,GLEN VIEW",G45 0DN,1,1996,1995/1996,1996-01-01,1996 Q1,37750,150.2,1.662450067,62757.49,GLASGOW,Use,NEW,Langside and Linn
R,2,,,SHERBROOKE GDNS,G41 4HU,1,1996,1995/1996,1996-01-01,1996 Q1,245000,150.2,1.662450067,407300.27,GLASGOW,Use,NEW,Pollokshields and Southside Central
R,,,01-Mar,WOODLANDS PARK,G3,1,1996,1995/1996,1996-01-01,1996 Q1,58900,150.2,1.662450067,97918.31,BEARSDEN,Use,NEW,Central and West
R,2,,,"SCARREL GDNS,GLEN VIEW",G45 0DN,1,1996,1995/1996,1996-01-01,1996 Q1,32500,150.2,1.662450067,54029.63,GLASGOW,Use,NEW,Langside and Linn
R,2,,01-Mar,"WYNDHAM CT,KIRKLEE WYND",G12 0TY,1,1996,1995/1996,1996-01-01,1996 Q1,96000,150.2,1.662450067,159595.21,GLASGOW,Use,NEW,Maryhill Kelvin and Canal
R,54,,,"BRIARCROFT RD,BRIARCROFT",G33,1,1996,1995/1996,1996-01-01,1996 Q1,64000,150.2,1.662450067,106396.8,GLASGOW,Use,NEW,Springburn
R,9,,,"TILLYCAIRN ST,CAIRN PARK",G33 5HB,1,1996,1995/1996,1996-01-01,1996 Q1,39750,150.2,1.662450067,66082.39,GLASGOW,Use,NEW,Baillieston Shettleston
R,20,,,"CROFTSPAR GR,MANSIONHOUSE GATE",G32 0JY,1,1996,1995/1996,1996-01-01,1996 Q1,45995,150.2,1.662450067,76464.39,GLASGOW,Use,NEW,Baillieston Shettleston
R,52,,,"BRIARCROFT RD,BRIARCROFT",g33 1rb,1,1996,1995/1996,1996-01-01,1996 Q1,96000,150.2,1.662450067,159595.21,LENNOXTOWN,Use,NEW,Springburn
R,31,,,"SUMMERHILL DR,SUMMERHILL GDNS",G15 7JB,1,1996,1995/1996,1996-01-01,1996 Q1,43000,150.2,1.662450067,71485.35,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,1,,2/L,"CRICHTON ST,COWLAIRS GR",G21 1AG,1,1996,1995/1996,1996-01-01,1996 Q1,42500,150.2,1.662450067,70654.13,GLASGOW,Use,NEW,Springburn
R,60,,,"BRIARCROFT RD,BRIARCROFT",G33,1,1996,1995/1996,1996-01-01,1996 Q1,66500,150.2,1.662450067,110552.93,GLASGOW,Use,NEW,Springburn
R,30,,,"MAVISBANK GDNS,FESTIVAL PARK",G51 1HG,1,1996,1995/1996,1996-01-01,1996 Q1,81000,150.2,1.662450067,134658.46,GLASGOW,Use,NEW,Govan and Craigton
R,29,,,"SUMMERHILL DR,SUMMERHILL GDNS",G15 7JB,1,1996,1995/1996,1996-01-01,1996 Q1,50450,150.2,1.662450067,83870.61,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,23,,,"BRIARCROFT RD,BRIARCROFT",g33 1ra,1,1996,1995/1996,1996-01-01,1996 Q1,76000,150.2,1.662450067,126346.21,WHITBURN,Use,NEW,Springburn
R,56,,01-Feb,"ASHLEY ST,WOODLANDS PARK",G3 6HW,1,1996,1995/1996,1996-01-01,1996 Q1,59400,150.2,1.662450067,98749.53,AIRDRIE,Use,NEW,Central and West
R,32,,,"CELTIC ST,LENNOX GDNS",G20 0BU,1,1996,1995/1996,1996-01-01,1996 Q1,60000,150.2,1.662450067,99747,GLASGOW,Use,NEW,Maryhill Kelvin and Canal
R,4,,,"BRENT DR,REGENTS PARK",G46 8JN,1,1996,1995/1996,1996-01-01,1996 Q1,67495,150.2,1.662450067,112207.07,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
