CLASS,STNO,STnu,FLATPOSN,STNAME,POSTCODE,MONTH OF SALE,YEAR OF SALE (CALENDAR),YEAR OF SALE (BUSINESS),MONTH AND YEAR,QUARTER_(CALENDAR),ACTUAL PRICE AT POINT OF SALE,RPI,DEFLATOR,PRICE CONSTANT AT July 2013,ORIGINOFBUY,OMIT OR USE,NEWBUILD OR RESALE,LHF
R,19A,,,HUGHENDEN GDNS,G12 9XW,1,1994,1993/1994,1994-01-01,1994 Q1,76500,141.3,1.767162067,135187.9,LENNOXTOWN,Use,NEW,Central and West
R,42,,F2,SPEIRS WHARF,G4 9TB,1,1994,1993/1994,1994-01-01,1994 Q1,50000,141.3,1.767162067,88358.1,AIRDRIE,Use,NEW,Maryhill Kelvin and Canal
R,18,,,"ARDMALEISH DR,M'CASTLE RISE",G45 9JE,1,1994,1993/1994,1994-01-01,1994 Q1,41000,141.3,1.767162067,72453.64,GLASGOW,Use,NEW,Langside and Linn
R,,,,PLANTATION PARK GDNS,G51 1NW,1,1994,1993/1994,1994-01-01,1994 Q1,49995,141.3,1.767162067,88349.27,GLASGOW,Use,NEW,Govan and Craigton
R,19,,,"WAUKGLEN GDNS,SOUTHPARK",G53 7YW,1,1994,1993/1994,1994-01-01,1994 Q1,70000,141.3,1.767162067,123701.34,HELENSBURGH,Use,NEW,Greater Pollok and Newlands Auldburn
R,50,,,EVERARD DR,G21 1XG,1,1994,1993/1994,1994-01-01,1994 Q1,61895,141.3,1.767162067,109378.5,GLASGOW,Use,NEW,Maryhill Kelvin and Canal
R,13A,,,"GROVEPARK GDNS,DERWENT CT",G20 7JB,1,1994,1993/1994,1994-01-01,1994 Q1,51875,141.3,1.767162067,91671.53,IRVINE,Use,NEW,Central and West
R,7,,,WESTSIDE GDNS,G11,1,1994,1993/1994,1994-01-01,1994 Q1,146000,141.3,1.767162067,258005.66,GLASGOW,Use,NEW,Central and West
R,26,,,BISHOPSGATE RD,G21 1XD,1,1994,1993/1994,1994-01-01,1994 Q1,73395,141.3,1.767162067,129700.86,KIRKINTILLOCH,Use,NEW,Maryhill Kelvin and Canal
R,20,,,COLGRAVE CRES,G32 8PL,1,1994,1993/1994,1994-01-01,1994 Q1,56000,141.3,1.767162067,98961.08,GLASGOW,Use,NEW,Baillieston Shettleston
R,3,,,"BARBERRY PL,SOUTHPARK",G53 7YS,1,1994,1993/1994,1994-01-01,1994 Q1,53995,141.3,1.767162067,95417.92,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,1,,,RHINDMUIR PL,G69 6HF,1,1994,1993/1994,1994-01-01,1994 Q1,53000,141.3,1.767162067,93659.59,GLASGOW,Use,NEW,Baillieston Shettleston
R,42,,,EVERARD DR,G21 1XG,1,1994,1993/1994,1994-01-01,1994 Q1,73595,141.3,1.767162067,130054.29,GLASGOW,Use,NEW,Maryhill Kelvin and Canal
R,7,,,"WAUKGLEN GDNS,SOUTHPARK",G53 7YW,1,1994,1993/1994,1994-01-01,1994 Q1,58995,141.3,1.767162067,104253.73,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,2,,,RHINDMUIR DR,G69 6ND,1,1994,1993/1994,1994-01-01,1994 Q1,59265,141.3,1.767162067,104730.86,NEWCASTLE,Use,NEW,Baillieston Shettleston
R,3,,,RHINDMUIR CRES,G69 6NQ,1,1994,1993/1994,1994-01-01,1994 Q1,57205,141.3,1.767162067,101090.51,GLASGOW,Use,NEW,Baillieston Shettleston
R,6,,,WESTSIDE GDNS,G11,1,1994,1993/1994,1994-01-01,1994 Q1,116000,141.3,1.767162067,204990.8,BALLOCH (DB),Use,NEW,Central and West
R,15F,,,HUGHENDEN GDNS,G12 9XW,1,1994,1993/1994,1994-01-01,1994 Q1,104000,141.3,1.767162067,183784.85,EAST KILBRIDE,Use,NEW,Central and West
R,03-Dec,,,"PARSONAGE SQ,ALBANY HOUSE",G4 0TA,1,1994,1993/1994,1994-01-01,1994 Q1,62000,141.3,1.767162067,109564.05,BARRHILL,Use,NEW,East Centre and Calton
