CLASS,STNO,STnu,FLATPOSN,STNAME,POSTCODE,MONTH OF SALE,YEAR OF SALE (CALENDAR),YEAR OF SALE (BUSINESS),MONTH AND YEAR,QUARTER_(CALENDAR),ACTUAL PRICE AT POINT OF SALE,RPI,DEFLATOR,PRICE CONSTANT AT July 2013,ORIGINOFBUY,OMIT OR USE,NEWBUILD OR RESALE,LHF
R,5,,,"KINGSBRIDGE PARK GDNS,KING",G44 4JG,2,2004,2003/2004,2004-02-01,2004 Q1,65118,183.8,1.358541893,88465.53,GLASGOW,Use,NEW,Langside and Linn
R,1A,,G/2,"TINTO RD,THE FIRS",G43 2BA,2,2004,2003/2004,2004-02-01,2004 Q1,210000,183.8,1.358541893,285293.8,NEWTON MEARNS,Use,NEW,Greater Pollok and Newlands Auldburn
R,470,,2/L,"KILMARNOCK RD,THE FIRS",G43 2BB,2,2004,2003/2004,2004-02-01,2004 Q1,215000,183.8,1.358541893,292086.51,,Use,NEW,Greater Pollok and Newlands Auldburn
R,470,,02-Feb,"KILMARNOCK RD,THE FIRS",G43 2BB,2,2004,2003/2004,2004-02-01,2004 Q1,215000,183.8,1.358541893,292086.51,,Use,NEW,Greater Pollok and Newlands Auldburn
R,468,,3/L,"KILMARNOCK RD,THE FIRS",G43 2BW,2,2004,2003/2004,2004-02-01,2004 Q1,235000,183.8,1.358541893,319257.34,THORNTONHALL,Use,NEW,Greater Pollok and Newlands Auldburn
R,14,,3/S,"NEWBURGH ST,THE GABLES",G43 2XR,2,2004,2003/2004,2004-02-01,2004 Q1,166500,183.8,1.358541893,226197.23,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,10,,G/L,"NEWBURGH ST,THE GABLES",G43 2XR,2,2004,2003/2004,2004-02-01,2004 Q1,171372,183.8,1.358541893,232816.04,,Use,NEW,Greater Pollok and Newlands Auldburn
R,10,,2/R,"NEWBURGH ST,THE GABLES",G43 2XR,2,2004,2003/2004,2004-02-01,2004 Q1,162500,183.8,1.358541893,220763.06,CLARKSTON,Use,NEW,Greater Pollok and Newlands Auldburn
R,10,,03-Feb,"NEWBURGH ST,THE GABLES",G43 2XR,2,2004,2003/2004,2004-02-01,2004 Q1,164500,183.8,1.358541893,223480.14,NEWTON MEARNS,Use,NEW,Greater Pollok and Newlands Auldburn
R,10,,3/L,"NEWBURGH ST,THE GABLES",G43 2XR,2,2004,2003/2004,2004-02-01,2004 Q1,164500,183.8,1.358541893,223480.14,NEWTON MEARNS,Use,NEW,Greater Pollok and Newlands Auldburn
R,14,,2/L,"NEWBURGH ST,THE GABLES",G43 2XR,2,2004,2003/2004,2004-02-01,2004 Q1,164500,183.8,1.358541893,223480.14,GIFFNOCK,Use,NEW,Greater Pollok and Newlands Auldburn
R,10,,G/R,"NEWBURGH ST,THEGABLES",G43 2XR,2,2004,2003/2004,2004-02-01,2004 Q1,171372,183.8,1.358541893,232816.04,,Use,NEW,Greater Pollok and Newlands Auldburn
R,294,,G/2,"KILMARNOCK RD,THE GABLES",G43 2XS,2,2004,2003/2004,2004-02-01,2004 Q1,160500,183.8,1.358541893,218045.97,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,52,,,GAVINTON ST,G44 3HD,2,2004,2003/2004,2004-02-01,2004 Q1,249000,183.8,1.358541893,338276.93,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,54,,,GAVINTON ST,G44 3HD,2,2004,2003/2004,2004-02-01,2004 Q1,239000,183.8,1.358541893,324691.51,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,8,,,"KINGSBRIDGE PARK GDNS,KING",G44 4JG,2,2004,2003/2004,2004-02-01,2004 Q1,179035,183.8,1.358541893,243226.55,BATHGATE,Use,NEW,Langside and Linn
R,7,,,"KINGSBRIDGE PARK GDNS,KING",G44 4JG,2,2004,2003/2004,2004-02-01,2004 Q1,128995,183.8,1.358541893,175245.11,BEARSDEN,Use,NEW,Langside and Linn
R,64,,02-Apr,MILLER ST,G1 1DT,2,2004,2003/2004,2004-02-01,2004 Q1,157590,183.8,1.358541893,214092.62,ERSKINE,Use,NEW,Central and West
R,64,,02-Mar,MILLER ST,G1 1DT,2,2004,2003/2004,2004-02-01,2004 Q1,157950,183.8,1.358541893,214581.69,ERSKINE,Use,NEW,Central and West
R,64,,02-Feb,MILLER ST,G1 1DT,2,2004,2003/2004,2004-02-01,2004 Q1,163800,183.8,1.358541893,222529.16,NEWTON MEARNS,Use,NEW,Central and West
R,67,,,"BOWHOUSE DR,HIGHFIELD PARK",G45 0NA,2,2004,2003/2004,2004-02-01,2004 Q1,121000,183.8,1.358541893,164383.57,ALDERSHOT,Use,NEW,Langside and Linn
R,6,,,"LINNDALE RD,CARMUNNOCK GRAN",G45 0QF,2,2004,2003/2004,2004-02-01,2004 Q1,164150,183.8,1.358541893,223004.65,CHORLEY,Use,NEW,Langside and Linn
R,16,,,"LINNDALE RD,CARMUNNOCK GRAN",G45 0QF,2,2004,2003/2004,2004-02-01,2004 Q1,167000,183.8,1.358541893,226876.5,GLASGOW,Use,NEW,Langside and Linn
R,8,,,"LINNDALE RD,CARMUNNOCK GRAN",G45 0QF,2,2004,2003/2004,2004-02-01,2004 Q1,163000,183.8,1.358541893,221442.33,RUTHERGLEN,Use,NEW,Langside and Linn
R,410,,,"ARDENCRAIG RD,CARMUNNOCK GR",G45 0QH,2,2004,2003/2004,2004-02-01,2004 Q1,140000,183.8,1.358541893,190195.87,GLASGOW,Use,NEW,Langside and Linn
R,15,,1/L,"MANRESA PL,MANRESA POINT",G4 9SZ,2,2004,2003/2004,2004-02-01,2004 Q1,104465,183.8,1.358541893,141920.08,,Use,NEW,Central and West
R,15,,,"SPRING WYND,QUEEN ELIZABETH G",G5 0BF,2,2004,2003/2004,2004-02-01,2004 Q1,109000,183.8,1.358541893,148081.07,EDINBURGH,Use,NEW,Pollokshields and Southside Central
R,57,,,"PINE PL,REGENCY SQ",G5 0BX,2,2004,2003/2004,2004-02-01,2004 Q1,145000,183.8,1.358541893,196988.57,GLASGOW,Use,NEW,Pollokshields and Southside Central
R,51,,03-Aug,"CARNOUSTIE ST,THE PRISM",G5 8PN,2,2004,2003/2004,2004-02-01,2004 Q1,194000,183.8,1.358541893,263557.13,BANFF,Use,NEW,Govan and Craigton
R,51,,04-Feb,"CARNOUSTIE ST,THE PRISM",G5 8PN,2,2004,2003/2004,2004-02-01,2004 Q1,185000,183.8,1.358541893,251330.25,EDINBURGH,Use,NEW,Govan and Craigton
R,51,,03-Jul,"CARNOUSTIE ST,THE PRISM",G5 8PN,2,2004,2003/2004,2004-02-01,2004 Q1,170000,183.8,1.358541893,230952.12,THORNLIEBANK,Use,NEW,Govan and Craigton
R,51,,03-May,"CARNOUSTIE ST,THE PRISM",G5 8PN,2,2004,2003/2004,2004-02-01,2004 Q1,169000,183.8,1.358541893,229593.58,PAISLEY,Use,NEW,Govan and Craigton
R,39,,,"INVERNESS ST,RIDGEWAY PAR",G51 4HG,2,2004,2003/2004,2004-02-01,2004 Q1,64250,183.8,1.358541893,87286.32,GLASGOW,Use,NEW,Govan and Craigton
R,6,,,"DAVIOT ST,RIDGEWAY PARK",G51 4HL,2,2004,2003/2004,2004-02-01,2004 Q1,68750,183.8,1.358541893,93399.76,GLASGOW,Use,NEW,Govan and Craigton
