CLASS,STNO,STnu,FLATPOSN,STNAME,POSTCODE,MONTH OF SALE,YEAR OF SALE (CALENDAR),YEAR OF SALE (BUSINESS),MONTH AND YEAR,QUARTER_(CALENDAR),ACTUAL PRICE AT POINT OF SALE,RPI,DEFLATOR,PRICE CONSTANT AT July 2013,ORIGINOFBUY,OMIT OR USE,NEWBUILD OR RESALE,LHF
R,33,,,"SAVOY ST,SPINNERS CT",G40 4AT,1,1995,1994/1995,1995-01-01,1995 Q1,43950,146,1.710273973,75166.54,GLASGOW,Use,NEW,East Centre and Calton
R,129,,,"OLD RUTHERGLEN RD,BALLATER",G5 0RE,1,1995,1994/1995,1995-01-01,1995 Q1,51500,146,1.710273973,88079.11,GLASGOW,Use,NEW,Pollokshields and Southside Central
R,28,,,"WAUKGLEN AVE,SOUTHPARK",G53 7YL,1,1995,1994/1995,1995-01-01,1995 Q1,66450,146,1.710273973,113647.71,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,127,,03-Feb,"OLD RUTHERGLEN RD,BALLATER",G5 0RE,1,1995,1994/1995,1995-01-01,1995 Q1,40000,146,1.710273973,68410.96,GLASGOW,Use,NEW,Pollokshields and Southside Central
R,48,,,"ST NINIAN TER,BALLATER GDNS",G5 0RJ,1,1995,1994/1995,1995-01-01,1995 Q1,33000,146,1.710273973,56439.04,GLASGOW,Use,NEW,Pollokshields and Southside Central
R,52,,,BISHOPSGATE RD,G21 1XD,1,1995,1994/1995,1995-01-01,1995 Q1,81995,146,1.710273973,140233.91,GLASGOW,Use,NEW,Maryhill Kelvin and Canal
R,48,,2/L,"ST NINIAN TER,BALLATER GDNS",G5 0RJ,1,1995,1994/1995,1995-01-01,1995 Q1,41000,146,1.710273973,70121.23,THURSO,Use,NEW,Pollokshields and Southside Central
R,,,,TRINITY SQ,G41,1,1995,1994/1995,1995-01-01,1995 Q1,91950,146,1.710273973,157259.69,NEWTON MEARNS,Use,NEW,Pollokshields and Southside Central
R,141,,03-Feb,"OLD RUTHERGLEN RD,BALLATER",G5 0RE,1,1995,1994/1995,1995-01-01,1995 Q1,45000,146,1.710273973,76962.33,MOUNT VERNON,Use,NEW,Pollokshields and Southside Central
R,52,,01-Feb,"ST NINIAN TER,BALLATER GDNS",G5 0RJ,1,1995,1994/1995,1995-01-01,1995 Q1,41000,146,1.710273973,70121.23,GLASGOW,Use,NEW,Pollokshields and Southside Central
R,31,,,"PETERSON DR,PETERSON PARK",G13 4JH,1,1995,1994/1995,1995-01-01,1995 Q1,84000,146,1.710273973,143663.01,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,7,,,"DUNTREATH DR,THE BEECHES",G13 4JG,1,1995,1994/1995,1995-01-01,1995 Q1,62950,146,1.710273973,107661.75,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
