CLASS,STNO,STnu,FLATPOSN,STNAME,POSTCODE,MONTH OF SALE,YEAR OF SALE (CALENDAR),YEAR OF SALE (BUSINESS),MONTH AND YEAR,QUARTER_(CALENDAR),ACTUAL PRICE AT POINT OF SALE,RPI,DEFLATOR,PRICE CONSTANT AT July 2013,ORIGINOFBUY,OMIT OR USE,NEWBUILD OR RESALE,LHF
R,19,,,"BOWHOUSE DR,HIGHFIELD PARK",G45 0NA,2,2003,2002/2003,2003-02-01,2003 Q1,68000,179.3,1.392638037,94699.39,,Use,NEW,Langside and Linn
R,9,,G/R,"BRANKLYN CT,ACADEMY PARK",G13 1GL,2,2003,2002/2003,2003-02-01,2003 Q1,119995,179.3,1.392638037,167109.6,PAISLEY,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,99,,01-Mar,"GLASSFORD ST,MERCHANT HALL",G1 1UH,2,2003,2002/2003,2003-02-01,2003 Q1,181000,179.3,1.392638037,252067.48,GLASGOW,Use,NEW,Central and West
R,68,,G/R,SHAKESPEARE ST,G20 8TJ,2,2003,2002/2003,2003-02-01,2003 Q1,60000,179.3,1.392638037,83558.28,GLASGOW,Use,NEW,Maryhill Kelvin and Canal
R,99,,03-Mar,"GLASSFORD ST,MERCHANT HALL",G1 1UH,2,2003,2002/2003,2003-02-01,2003 Q1,188000,179.3,1.392638037,261815.95,LANARK,Use,NEW,Central and West
R,3,,02-Feb,"BRANKLYN CT,ACADEMY PARK",G13 1GL,2,2003,2002/2003,2003-02-01,2003 Q1,127995,179.3,1.392638037,178250.71,GRAVESEND,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,99,,F8,"GLASSFORD ST,MERCHANT HALL",G1 1UH,2,2003,2002/2003,2003-02-01,2003 Q1,183000,179.3,1.392638037,254852.76,NORTHWOOD,Use,NEW,Central and West
R,7,,,"PRIORWOOD PL,ACADEMY PARK",G13 1GN,2,2003,2002/2003,2003-02-01,2003 Q1,320000,179.3,1.392638037,445644.17,BEARSDEN,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,33,,,"MUIRHOUSE ST,THE TOWER",G41 1QD,2,2003,2002/2003,2003-02-01,2003 Q1,125000,179.3,1.392638037,174079.75,NEWTON MEARNS,Use,NEW,Pollokshields and Southside Central
R,19,,F3,"DUNASKIN ST,WESTERN GATE",G11 6PG,2,2003,2002/2003,2003-02-01,2003 Q1,143000,179.3,1.392638037,199147.24,HAMILTON,Use,NEW,Central and West
R,3,,2/L,"BRANKLYN CT,ACADEMY PARK",G13 1GL,2,2003,2002/2003,2003-02-01,2003 Q1,141995,179.3,1.392638037,197747.64,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,17,,F1,"BENALDER ST,WESTERN GATE",G11 6PU,2,2003,2002/2003,2003-02-01,2003 Q1,125000,179.3,1.392638037,174079.75,GLASGOW,Use,NEW,Central and West
R,17,,F8,"DUNASKIN ST,WESTERN GATE",G11 6PG,2,2003,2002/2003,2003-02-01,2003 Q1,145500,179.3,1.392638037,202628.83,GLASGOW,Use,NEW,Central and West
R,3A,,,LESLIE RD,G41 5RQ,3,2003,2002/2003,2003-03-01,2003 Q1,170000,179.9,1.38799333,235958.87,LONDON,Use,NEW,Pollokshields and Southside Central
R,119,,,"BROCKBURN RD,CASTLEVIEW",G53 5AZ,2,2003,2002/2003,2003-02-01,2003 Q1,68995,179.3,1.392638037,96085.06,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,70,,07-Jan,QUEEN ST,G1 3DN,2,2003,2002/2003,2003-02-01,2003 Q1,170000,179.3,1.392638037,236748.47,GLASGOW,Use,NEW,Central and West
R,70,,1/M,QUEEN ST,G1 3DN,2,2003,2002/2003,2003-02-01,2003 Q1,125000,179.3,1.392638037,174079.75,DUMFRIES,Use,NEW,Central and West
R,82,,3/L,LONDON RD,G1 5NP,2,2003,2002/2003,2003-02-01,2003 Q1,87500,179.3,1.392638037,121855.83,GLASGOW,Use,NEW,East Centre and Calton
R,19,,F5,"DUNASKIN ST,WESTERN GATE",G11 6PG,2,2003,2002/2003,2003-02-01,2003 Q1,148000,179.3,1.392638037,206110.43,HONG KONG,Use,NEW,Central and West
R,3,,FLAT,BRANKLYN CT,G13 1Gx,2,2003,2002/2003,2003-02-01,2003 Q1,138995,179.3,1.392638037,193569.72,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,22,,FLAT,PARTICK BRIDGE ST,G11 6PL,2,2003,2002/2003,2003-02-01,2003 Q1,125000,179.3,1.392638037,174079.75,GLASGOW,Use,NEW,Central and West
R,60D,,,"MACHRIE RD,WOODLAND PARK",G45 0AS,2,2003,2002/2003,2003-02-01,2003 Q1,43000,179.3,1.392638037,59883.44,GLASGOW,Use,NEW,Langside and Linn
R,70,,3/M,QUEEN ST,G1 3DN,2,2003,2002/2003,2003-02-01,2003 Q1,130000,179.3,1.392638037,181042.94,STIRLING,Use,NEW,Central and West
R,11,,,"STRATHBLANE GDNS,THE WATERWAY",G13 1BL,2,2003,2002/2003,2003-02-01,2003 Q1,82000,179.3,1.392638037,114196.32,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,5,,01-Feb,"NETHERTON AVE,CARLTON PARK",G13 1BQ,2,2003,2002/2003,2003-02-01,2003 Q1,110250,179.3,1.392638037,153538.34,KILMACOLM,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
