CLASS,STNO,STnu,FLATPOSN,STNAME,POSTCODE,MONTH OF SALE,YEAR OF SALE (CALENDAR),YEAR OF SALE (BUSINESS),MONTH AND YEAR,QUARTER_(CALENDAR),ACTUAL PRICE AT POINT OF SALE,RPI,DEFLATOR,PRICE CONSTANT AT July 2013,ORIGINOFBUY,OMIT OR USE,NEWBUILD OR RESALE,LHF
R,3,,,"BLACADER DR,ST CLEMENT",G69 8DG,1,2008,2007/2008,2008-01-01,2008 Q1,178500,209.8,1.190181125,212447.33,GLASGOW,Use,NEW,Baillieston Shettleston
R,7,,,"BLACADER DR,ST CLEMENT",G69 8DG,1,2008,2007/2008,2008-01-01,2008 Q1,178500,209.8,1.190181125,212447.33,KIRKINTILLOCH,Use,NEW,Baillieston Shettleston
R,9,,,"BLACADER DR,ST CLEMENT",G69 8DG,1,2008,2007/2008,2008-01-01,2008 Q1,178500,209.8,1.190181125,212447.33,DUMBARTON,Use,NEW,Baillieston Shettleston
R,21,,,"BLACADER DR,ST CLEMENT",G69 8DG,1,2008,2007/2008,2008-01-01,2008 Q1,188500,209.8,1.190181125,224349.14,GLASGOW,Use,NEW,Baillieston Shettleston
R,47,,,"GARTLOCH WAY,BARCLAY HOUSE",G69 8FD,1,2008,2007/2008,2008-01-01,2008 Q1,270000,209.8,1.190181125,321348.9,IPSWICH,Use,NEW,Baillieston Shettleston
R,,,,PARKLANDS,G53,1,2008,2007/2008,2008-01-01,2008 Q1,260000,209.8,1.190181125,309447.09,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,,,,ROUTE 1 WEST,G13,1,2008,2007/2008,2008-01-01,2008 Q1,275000,209.8,1.190181125,327299.81,HARDGATE,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,,,,CROWN GDNS,G42,2,2008,2007/2008,2008-02-01,2008 Q1,95000,211.4,1.181173132,112211.45,,Use,NEW,Pollokshields and Southside Central
R,11,,,CROWN GDNS,g12 9hl,2,2008,2007/2008,2008-02-01,2008 Q1,98600,211.4,1.181173132,116463.67,,Use,NEW,Pollokshields and Southside Central
R,5,,01-Jan,"ANWOTH ST,SANDYHILLS CT",G32,1,2008,2007/2008,2008-01-01,2008 Q1,112640,209.8,1.190181125,134062,HOUNSLOW,Use,NEW,Baillieston Shettleston
R,5,,02-Jan,"ANWOTH ST,SANDYHILLS CT",G32 8UH,1,2008,2007/2008,2008-01-01,2008 Q1,112640,209.8,1.190181125,134062,EDINBURGH,Use,NEW,Baillieston Shettleston
R,5,,G/1,"ANWOTH ST,SANDYHILLS CT",G32,1,2008,2007/2008,2008-01-01,2008 Q1,112640,209.8,1.190181125,134062,BUSHBY,Use,NEW,Baillieston Shettleston
R,7,,01-Jan,"ANWOTH ST,SANDYHILLS CT",G32,1,2008,2007/2008,2008-01-01,2008 Q1,112640,209.8,1.190181125,134062,WOODBURN GREEN,Use,NEW,Baillieston Shettleston
R,7,,01-Feb,"ANWOTH ST,SANDYHILLS CT",G32,1,2008,2007/2008,2008-01-01,2008 Q1,112640,209.8,1.190181125,134062,WINGHAM,Use,NEW,Baillieston Shettleston
R,7,,G/1,"ANWOTH ST,SANDYHILLS CT",G32,1,2008,2007/2008,2008-01-01,2008 Q1,112640,209.8,1.190181125,134062,ST. ALBANS,Use,NEW,Baillieston Shettleston
R,7,,G/2,"ANWOTH ST,SANDYHILLS CT",G32,1,2008,2007/2008,2008-01-01,2008 Q1,112640,209.8,1.190181125,134062,LONDON,Use,NEW,Baillieston Shettleston
R,9,,01-Jan,"ANWOTH ST,SANDYHILLS CT",G32,1,2008,2007/2008,2008-01-01,2008 Q1,112640,209.8,1.190181125,134062,HOGHTON,Use,NEW,Baillieston Shettleston
R,9,,01-Feb,"ANWOTH ST,SANDYHILLS CT",G32,1,2008,2007/2008,2008-01-01,2008 Q1,112640,209.8,1.190181125,134062,CARLUKE,Use,NEW,Baillieston Shettleston
R,9,,02-Jan,"ANWOTH ST,SANDYHILLS CT",G32,1,2008,2007/2008,2008-01-01,2008 Q1,112640,209.8,1.190181125,134062,WOKINGHAM,Use,NEW,Baillieston Shettleston
R,9,,02-Feb,"ANWOTH ST,SANDYHILLS CT",G32,1,2008,2007/2008,2008-01-01,2008 Q1,112640,209.8,1.190181125,134062,FAREHAM,Use,NEW,Baillieston Shettleston
R,9,,G/1,"ANWOTH ST,SANDYHILLS CT",G32,1,2008,2007/2008,2008-01-01,2008 Q1,112640,209.8,1.190181125,134062,HALKYN,Use,NEW,Baillieston Shettleston
R,9,,G/2,"ANWOTH ST,SANDYHILLS CT",G32,1,2008,2007/2008,2008-01-01,2008 Q1,111640,209.8,1.190181125,132871.82,KINGSTON UPON THA,Use,NEW,Baillieston Shettleston
R,350B,,5/L,"ARGYLE ST,THE BRIDGE",G2 8ND,1,2008,2007/2008,2008-01-01,2008 Q1,211150,209.8,1.190181125,251306.74,GLASGOW,Use,NEW,Central and West
R,350C,,08-Jan,"ARGYLE ST,THE BRIDGE",G2 8ND,1,2008,2007/2008,2008-01-01,2008 Q1,211150,209.8,1.190181125,251306.74,GLASGOW,Use,NEW,Central and West
R,350,,09-Mar,"ARGYLE ST,THE BRIDGE",G2 8NE,1,2008,2007/2008,2008-01-01,2008 Q1,216300,209.8,1.190181125,257436.18,GLASGOW,Use,NEW,Central and West
R,1071,,03-Apr,"ARGYLE ST,THE HOTHSE",G3 8LZ,1,2008,2007/2008,2008-01-01,2008 Q1,204000,209.8,1.190181125,242796.95,GLASGOW,Use,NEW,Central and West
R,181,,02-Feb,"AUCHENTOSHAN TER,PETERSHI",G21 4UA,1,2008,2007/2008,2008-01-01,2008 Q1,121950,209.8,1.190181125,145142.59,GLASGOW,Use,NEW,Springburn
R,181,,2/L,"AUCHENTOSHAN TER,PETERSHI",G21 4UA,1,2008,2007/2008,2008-01-01,2008 Q1,122950,209.8,1.190181125,146332.77,BISHOPBRIGGS,Use,NEW,Springburn
R,181,,03-Jan,"AUCHENTOSHAN TER,PETERSHI",G21 4UA,1,2008,2007/2008,2008-01-01,2008 Q1,142950,209.8,1.190181125,170136.39,BISHOPBRIGGS,Use,NEW,Springburn
R,181,,G/1,"AUCHENTOSHAN TER,PETERSHI",G21 4UA,1,2008,2007/2008,2008-01-01,2008 Q1,121950,209.8,1.190181125,145142.59,BALMORE,Use,NEW,Springburn
R,191,,02-Jan,"AUCHENTOSHAN TER,PETERSHI",G21 4UA,1,2008,2007/2008,2008-01-01,2008 Q1,120950,209.8,1.190181125,143952.41,BISHOPBRIGGS,Use,NEW,Springburn
R,191,,02-Feb,"AUCHENTOSHAN TER,PETERSHI",G21 4UA,1,2008,2007/2008,2008-01-01,2008 Q1,120950,209.8,1.190181125,143952.41,BISHOPBRIGGS,Use,NEW,Springburn
R,2,,,"AVENUE END DR,HOGGANFIELD",G33 3UH,1,2008,2007/2008,2008-01-01,2008 Q1,148500,209.8,1.190181125,176741.9,GLASGOW,Use,NEW,Baillieston Shettleston
R,35,,,"AVENUE END DR,HOGGANFIELD",G33 3UH,1,2008,2007/2008,2008-01-01,2008 Q1,144000,209.8,1.190181125,171386.08,BEARSDEN,Use,NEW,Baillieston Shettleston
R,28,,,"BALVENY AVE,THE BEECHES",G33 5DH,1,2008,2007/2008,2008-01-01,2008 Q1,162000,209.8,1.190181125,192809.34,GLASGOW,Use,NEW,Baillieston Shettleston
R,30,,,"BALVENY AVE,THE BEECHES",G33 5DH,1,2008,2007/2008,2008-01-01,2008 Q1,153000,209.8,1.190181125,182097.71,EDINBURGH,Use,NEW,Baillieston Shettleston
R,32,,,"BALVENY AVE,THE BEECHES",G33 5DH,1,2008,2007/2008,2008-01-01,2008 Q1,153000,209.8,1.190181125,182097.71,GLASGOW,Use,NEW,Baillieston Shettleston
R,6,,,"BALVENY DR,THE BEECHES",G33 5BY,1,2008,2007/2008,2008-01-01,2008 Q1,150000,209.8,1.190181125,178527.17,GLASGOW,Use,NEW,Baillieston Shettleston
R,2,,01-Apr,"BARRLAND CT,SOUTHGATE",G41 1AL,1,2008,2007/2008,2008-01-01,2008 Q1,144000,209.8,1.190181125,171386.08,GLASGOW,Use,NEW,Pollokshields and Southside Central
R,2,,02-Apr,"BARRLAND CT,SOUTHGATE",G41 1AL,1,2008,2007/2008,2008-01-01,2008 Q1,146000,209.8,1.190181125,173766.44,GLASGOW,Use,NEW,Pollokshields and Southside Central
R,2,,03-Mar,"BARRLAND CT,SOUTHGATE",G41 1AL,1,2008,2007/2008,2008-01-01,2008 Q1,122500,209.8,1.190181125,145797.19,BAILLIESTON,Use,NEW,Pollokshields and Southside Central
R,2,,06-Jan,"BARRLAND CT,SOUTHGATE",G41 1AL,1,2008,2007/2008,2008-01-01,2008 Q1,126000,209.8,1.190181125,149962.82,GLASGOW,Use,NEW,Pollokshields and Southside Central
R,2,,06-Mar,"BARRLAND CT,SOUTHGATE",G41 1AL,1,2008,2007/2008,2008-01-01,2008 Q1,126000,209.8,1.190181125,149962.82,GLASGOW,Use,NEW,Pollokshields and Southside Central
