CLASS,STNO,STnu,FLATPOSN,STNAME,POSTCODE,MONTH OF SALE,YEAR OF SALE (CALENDAR),YEAR OF SALE (BUSINESS),MONTH AND YEAR,QUARTER_(CALENDAR),ACTUAL PRICE AT POINT OF SALE,RPI,DEFLATOR,PRICE CONSTANT AT July 2013,ORIGINOFBUY,OMIT OR USE,NEWBUILD OR RESALE,LHF
R,,,,SOUTHGATE,G41,1,2001,2000/2001,01/01/2001,2001 Q1,68500,171.1,1.459380479,99967.56,GIFFNOCK,Use,NEW,Pollokshields and Southside Central
R,11,,,"ANISH PL,KILPATRICK VIEW",G15 8AN,1,2001,2000/2001,01/01/2001,2001 Q1,56950,171.1,1.459380479,83111.72,CLYDEBANK,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,17,,,"ANISH PL,KILPATRICK VIEW",G15 8AN,1,2001,2000/2001,01/01/2001,2001 Q1,45000,171.1,1.459380479,65672.12,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,18,,,"ANISH PL,KILPATRICK VIEW",G15 8AN,1,2001,2000/2001,01/01/2001,2001 Q1,56500,171.1,1.459380479,82455,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,19,,,"ANISH PL,KILPATRICK VIEW",G15 8AN,1,2001,2000/2001,01/01/2001,2001 Q1,46500,171.1,1.459380479,67861.19,ALEXANDRIA,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,21,,,"ANISH PL,KILPATRICK VIEW",G15 8AN,1,2001,2000/2001,01/01/2001,2001 Q1,56500,171.1,1.459380479,82455,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,100,,F1,"ANNIESLAND RD,GREENFIELD VIEW",G13 1XD,1,2001,2000/2001,01/01/2001,2001 Q1,145000,171.1,1.459380479,211610.17,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,100,,F3,"ANNIESLAND RD,GREENFIELD VIEW",G13 1XD,1,2001,2000/2001,01/01/2001,2001 Q1,125000,171.1,1.459380479,182422.56,ROSYTH,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,100,,G/2,"ANNIESLAND RD,GREENFIELD VIEW",G13 1XD,1,2001,2000/2001,01/01/2001,2001 Q1,105000,171.1,1.459380479,153234.95,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,100,,G/L,"ANNIESLAND RD,GREENFIELD VIEW",G13 1XD,1,2001,2000/2001,01/01/2001,2001 Q1,105000,171.1,1.459380479,153234.95,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,34,,,"ASCOT AVE,WESTERLANDS PARK",G12 0AX,1,2001,2000/2001,01/01/2001,2001 Q1,151950,171.1,1.459380479,221752.86,GLASSFORD,Use,NEW,Maryhill Kelvin and Canal
R,7,,,"BALLOCHMYLE CRES,CROWN GDNS",G53 7GJ,1,2001,2000/2001,01/01/2001,2001 Q1,135595,171.1,1.459380479,197884.7,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,5,,,"BALLOCHMYLE GDNS,CASTLE GAIT",G53 7GL,1,2001,2000/2001,01/01/2001,2001 Q1,66995,171.1,1.459380479,97771.2,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,7,,,"BALLOCHMYLE GDNS,CASTLE GAIT",G53 7GL,1,2001,2000/2001,01/01/2001,2001 Q1,64995,171.1,1.459380479,94852.43,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,9,,,"BALLOCHMYLE GDNS,CASTLE GAIT",G53 7GL,1,2001,2000/2001,01/01/2001,2001 Q1,64995,171.1,1.459380479,94852.43,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,15,,,"BALLOCHMYLE GDNS,CASTLE GAIT",G53 7GL,1,2001,2000/2001,01/01/2001,2001 Q1,81495,171.1,1.459380479,118932.21,RENFREW,Use,NEW,Greater Pollok and Newlands Auldburn
R,3,,,"BALLOCHMYLE PL,CROWN GDNS",G53 7GQ,1,2001,2000/2001,01/01/2001,2001 Q1,133495,171.1,1.459380479,194820,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,3,,,"BARGANY RD,THE BEECHES",G53 7GB,1,2001,2000/2001,01/01/2001,2001 Q1,67995,171.1,1.459380479,99230.58,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,69,,,"BONNYHOLM AVE,CARTSIDE GDNS",G53 5RL,1,2001,2000/2001,01/01/2001,2001 Q1,48995,171.1,1.459380479,71502.35,GLASGOW,Use,NEW,Govan and Craigton
R,71,,,"BONNYHOLM AVE,CARTSIDE GDNS",G53 5RL,1,2001,2000/2001,01/01/2001,2001 Q1,47395,171.1,1.459380479,69167.34,GLASGOW,Use,NEW,Govan and Craigton
R,73,,,"BONNYHOLM AVE,CARTSIDE GDNS",G53 5RL,1,2001,2000/2001,01/01/2001,2001 Q1,47395,171.1,1.459380479,69167.34,CAMPBELTOWN,Use,NEW,Govan and Craigton
R,75,,,"BONNYHOLM AVE,CARTSIDE GDNS",G53 5RL,1,2001,2000/2001,01/01/2001,2001 Q1,48995,171.1,1.459380479,71502.35,GLASGOW,Use,NEW,Govan and Craigton
R,8,,,"BRENT AVE,REGENTS PARK",G46 8JU,1,2001,2000/2001,01/01/2001,2001 Q1,124695,171.1,1.459380479,181977.45,GIFFNOCK,Use,NEW,Greater Pollok and Newlands Auldburn
R,10,,,"BRENT AVE,REGENTS PARK",G46 8JU,1,2001,2000/2001,01/01/2001,2001 Q1,106495,171.1,1.459380479,155416.72,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,17,,,"BRENT AVE,REGENTS PARK",G46 8JU,1,2001,2000/2001,01/01/2001,2001 Q1,111395,171.1,1.459380479,162567.69,BELLSHILL,Use,NEW,Greater Pollok and Newlands Auldburn
R,43,,,"BRENT AVE,REGAL GR",G46 8JU,1,2001,2000/2001,01/01/2001,2001 Q1,101395,171.1,1.459380479,147973.88,THORNLIEBANK,Use,NEW,Greater Pollok and Newlands Auldburn
R,8,,,"BRENT RD,REGENTS PARK",G46 8JG,1,2001,2000/2001,01/01/2001,2001 Q1,92995,171.1,1.459380479,135715.09,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,11,,,"BRENT RD,REGENTS PARK",G46 8JG,1,2001,2000/2001,01/01/2001,2001 Q1,88595,171.1,1.459380479,129293.81,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,17,,,"BRENT RD,REGENTS PARK",G46 8JG,1,2001,2000/2001,01/01/2001,2001 Q1,84995,171.1,1.459380479,124040.04,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,19,,,"BRENT RD,REGENTS PARK",G46 8JG,1,2001,2000/2001,01/01/2001,2001 Q1,84995,171.1,1.459380479,124040.04,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,23,,,"BRENT RD,REGENTS PARK",G46 8JG,1,2001,2000/2001,01/01/2001,2001 Q1,91295,171.1,1.459380479,133234.14,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,55,,,"BROOKFIELD AVE,BROOKFIELDS",G33 1SY,1,2001,2000/2001,01/01/2001,2001 Q1,118495,171.1,1.459380479,172929.29,,Use,NEW,Springburn
R,63,,,"BROOKFIELD AVE,BROOKFIELDS",G33 1SY,1,2001,2000/2001,01/01/2001,2001 Q1,118750,171.1,1.459380479,173301.43,GLASGOW,Use,NEW,Springburn
R,65,,,"BROOKFIELD AVE,BROOKFIELDS",G33 1SX,1,2001,2000/2001,01/01/2001,2001 Q1,97595,171.1,1.459380479,142428.24,BISHOPBRIGGS,Use,NEW,Springburn
R,67,,,"BROOKFIELD AVE,BROOKFIELDS",G33 1SY,1,2001,2000/2001,01/01/2001,2001 Q1,83995,171.1,1.459380479,122580.66,GLASGOW,Use,NEW,Springburn
R,70,,,"BROOKFIELD AVE,BROOKFIELDS",G33 1SX,1,2001,2000/2001,01/01/2001,2001 Q1,76495,171.1,1.459380479,111635.31,GLASGOW,Use,NEW,Springburn
R,74,,,"BROOKFIELD AVE,BROOKFIELDS",G33 1SX,1,2001,2000/2001,01/01/2001,2001 Q1,84995,171.1,1.459380479,124040.04,RUISLIP,Use,NEW,Springburn
R,75,,,"BROOKFIELD AVE,BROOKFIELDS",G33 1SY,1,2001,2000/2001,01/01/2001,2001 Q1,88500,171.1,1.459380479,129155.17,BISHOPBRIGGS,Use,NEW,Springburn
R,76,,,"BROOKFIELD AVE,BROOKFIELDS",G33 1SX,1,2001,2000/2001,01/01/2001,2001 Q1,84995,171.1,1.459380479,124040.04,GLASGOW,Use,NEW,Springburn
