CLASS,STNO,STnu,FLATPOSN,STNAME,POSTCODE,MONTH OF SALE,YEAR OF SALE (CALENDAR),YEAR OF SALE (BUSINESS),MONTH AND YEAR,QUARTER_(CALENDAR),ACTUAL PRICE AT POINT OF SALE,RPI,DEFLATOR,PRICE CONSTANT AT July 2013,ORIGINOFBUY,OMIT OR USE,NEWBUILD OR RESALE,LHF
R,210,,2/L,"CLARKSTON RD,TRINITY",G44 3DN,3,2005,2004/2005,2005-03-01,2005 Q1,170000,190.5,1.310761155,222829.4,GLASGOW,Use,NEW,Langside and Linn
R,136,,04-Nov,"RENFIELD ST,RENFREW CHAMB",G2 3AU,1,2005,2004/2005,2005-01-01,2005 Q1,130000,188.9,1.32186342,171842.24,BAYFORD,Use,NEW,Central and West
R,112,,May-14,"COWCADDENS RD,THE MATRIX",G4 0HL,1,2005,2004/2005,2005-01-01,2005 Q1,240950,188.9,1.32186342,318502.99,BEARSDEN,Use,NEW,Central and West
R,29A,,,"HARDRIDGE RD,MAXWELL GATE",G52 1RH,1,2005,2004/2005,2005-01-01,2005 Q1,104995,188.9,1.32186342,138789.05,GLASGOW,Use,NEW,Govan and Craigton
R,136,,01-Nov,"RENFIELD ST,RENFREW CHAMB",G2 3AU,1,2005,2004/2005,2005-01-01,2005 Q1,120000,188.9,1.32186342,158623.61,LONDON,Use,NEW,Central and West
R,169A,,01-Jan,HAMILTON RD,G32 9QT,1,2005,2004/2005,2005-01-01,2005 Q1,149950,188.9,1.32186342,198213.42,GLASGOW,Use,NEW,Baillieston Shettleston
R,27,,,"BRODIE GROVE,MANOR GATE",G69 6EG,1,2005,2004/2005,2005-01-01,2005 Q1,140755,188.9,1.32186342,186058.89,GLASGOW,Use,NEW,Baillieston Shettleston
R,8,,02-Mar,"ST FRANCIS RIGG,FRIARY CT",G5,2,2005,2004/2005,2005-02-01,2005 Q1,114000,189.6,1.316983122,150136.08,NEWTON MEARNS,Use,NEW,Pollokshields and Southside Central
R,220,,04-Jan,"WALLACE ST,KINGSTON QUAY",G5 8AH,2,2005,2004/2005,2005-02-01,2005 Q1,162646,189.6,1.316983122,214202.04,HORNCHURCH,Use,NEW,Govan and Craigton
R,17,,,"PARKLANDS OVAL,TOWER VIEW",G53 7SZ,2,2005,2004/2005,2005-02-01,2005 Q1,189000,189.6,1.316983122,248909.81,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,220,,03-May,"WALLACE ST,KINGSTON QUAY",G5 8AH,2,2005,2004/2005,2005-02-01,2005 Q1,168500,189.6,1.316983122,221911.66,PINNER,Use,NEW,Govan and Craigton
R,45,,,"BERNISDALE DR,GROVEWOOD",G15 8BB,2,2005,2004/2005,2005-02-01,2005 Q1,176000,189.6,1.316983122,231789.03,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,136,,03-Apr,"RENFIELD ST,RENFREW CHAMB",G2 3AU,1,2005,2004/2005,2005-01-01,2005 Q1,113500,188.9,1.32186342,150031.5,CRIEFF,Use,NEW,Central and West
R,59,,G/2,"PARKLANDS OVAL,TOWER VIEW",G53 7UD,1,2005,2004/2005,2005-01-01,2005 Q1,180000,188.9,1.32186342,237935.42,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,44,,2/L,"MINERVA WAY,ADMIRALS QUAY",G3 8GB,1,2005,2004/2005,2005-01-01,2005 Q1,155000,188.9,1.32186342,204888.83,,Use,NEW,Central and West
