CLASS,STNO,STnu,FLATPOSN,STNAME,POSTCODE,MONTH OF SALE,YEAR OF SALE (CALENDAR),YEAR OF SALE (BUSINESS),MONTH AND YEAR,QUARTER_(CALENDAR),ACTUAL PRICE AT POINT OF SALE,RPI,DEFLATOR,PRICE CONSTANT AT July 2013,ORIGINOFBUY,OMIT OR USE,NEWBUILD OR RESALE,LHF
R,106,,1/R,CALDER ST,G42 7RB,1,2011,2010/2011,2011-01-01,2011 Q1,35000,229,1.090393013,38163.76,,Use,RESALE,Pollokshields and Southside Central
R,462,,G/L,CALEDONIA RD,G5 0LG,1,2011,2010/2011,2011-01-01,2011 Q1,70000,229,1.090393013,76327.51,FORFAR,Use,RESALE,Pollokshields and Southside Central
R,,,,RICHMOND GATE,G5,1,2011,2010/2011,2011-01-01,2011 Q1,185000,229,1.090393013,201722.71,GLASGOW,Use,NEW,Pollokshields and Southside Central
R,490,,15-Apr,"ARGYLE ST,THE ARGYLE BUIL",G2 8AJ,1,2011,2010/2011,2011-01-01,2011 Q1,165000,229,1.090393013,179914.85,LARBERT,Use,NEW,Central and West
R,490,,06-Feb,"ARGYLE ST,THE ARGYLE BUIL",G2 8AJ,1,2011,2010/2011,2011-01-01,2011 Q1,143500,229,1.090393013,156471.4,LUXEMBOURG,Use,NEW,Central and West
R,490,,08-Apr,"ARGYLE ST,THE ARGYLE BUIL",G2 8AJ,1,2011,2010/2011,2011-01-01,2011 Q1,156000,229,1.090393013,170101.31,SKELMORLIE,Use,NEW,Central and West
R,109,,,BARFILLAN DR,G52 1BD,1,2011,2010/2011,2011-01-01,2011 Q1,120000,229,1.090393013,130847.16,GLASGOW,Use,NEW,Govan and Craigton
R,55,,,"BELVIDERE AVE,BELVIDERE VI",G31 4PA,1,2011,2010/2011,2011-01-01,2011 Q1,115000,229,1.090393013,125395.2,MID CALDER,Use,NEW,East Centre and Calton
R,4,,,"BELVIDERE TER,BELVIDERE V",G31 4PD,1,2011,2010/2011,2011-01-01,2011 Q1,139995,229,1.090393013,152649.57,FALKIRK,Use,NEW,East Centre and Calton
R,33,,,"BLACKHILL DR,THE GRANGE",G23 5NH,1,2011,2010/2011,2011-01-01,2011 Q1,250000,229,1.090393013,272598.25,GLASGOW,Use,NEW,Maryhill Kelvin and Canal
R,12,,03-Jan,"CHESTERFIELD GDNS,GAINSBOR",G12 0BF,1,2011,2010/2011,2011-01-01,2011 Q1,400980,229,1.090393013,437225.79,HAMILTON,Use,NEW,Maryhill Kelvin and Canal
R,308,,07-Feb,CLYDE ST,G1 4NP,1,2011,2010/2011,2011-01-01,2011 Q1,134000,229,1.090393013,146112.66,GLASGOW,Use,NEW,Central and West
R,41,,G/1,"COOK ST,WESTBRIDGE GDNS",G5 8JN,1,2011,2010/2011,2011-01-01,2011 Q1,155000,229,1.090393013,169010.92,GLASGOW,Use,NEW,Govan and Craigton
R,79,,,"CORTMALAW CRES,WALLACEFIE",G33 1TD,1,2011,2010/2011,2011-01-01,2011 Q1,275000,229,1.090393013,299858.08,BISHOPBRIGGS,Use,NEW,Springburn
R,81,,,"CORTMALAW CRES,WALLACEFIE",G33 1TD,1,2011,2010/2011,2011-01-01,2011 Q1,299950,229,1.090393013,327063.38,GLASGOW,Use,NEW,Springburn
R,89,,,"CORTMALAW CRES,WALLACEFIE",G33 1TD,1,2011,2010/2011,2011-01-01,2011 Q1,369000,229,1.090393013,402355.02,LENZIE,Use,NEW,Springburn
R,4,,,"CROFTCROIGHN GDNS,THE GLEN",G33 5JG,1,2011,2010/2011,2011-01-01,2011 Q1,156000,229,1.090393013,170101.31,GLASGOW,Use,NEW,Baillieston Shettleston
R,17,,,"DERMONTSIDE CLOSE,THE ROWANS",G53 7ZT,1,2011,2010/2011,2011-01-01,2011 Q1,170000,229,1.090393013,185366.81,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,23,,01-Feb,"DERMONTSIDE CLOSE,THE ROWANS",G53 7ZT,1,2011,2010/2011,2011-01-01,2011 Q1,137000,229,1.090393013,149383.84,GIFFNOCK,Use,NEW,Greater Pollok and Newlands Auldburn
R,23,,02-Jan,"DERMONTSIDE CLOSE,THE ROWANS",G53 7ZT,1,2011,2010/2011,2011-01-01,2011 Q1,127000,229,1.090393013,138479.91,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,23,,02-Feb,"DERMONTSIDE CLOSE,THE ROWANS",G53 7ZT,1,2011,2010/2011,2011-01-01,2011 Q1,137000,229,1.090393013,149383.84,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,23,,03-Feb,"DERMONTSIDE CLOSE,THE ROWANS",G53 7ZT,1,2011,2010/2011,2011-01-01,2011 Q1,127000,229,1.090393013,138479.91,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
