CLASS,STNO,STnu,FLATPOSN,STNAME,POSTCODE,MONTH OF SALE,YEAR OF SALE (CALENDAR),YEAR OF SALE (BUSINESS),MONTH AND YEAR,QUARTER_(CALENDAR),ACTUAL PRICE AT POINT OF SALE,RPI,DEFLATOR,PRICE CONSTANT AT July 2013,ORIGINOFBUY,OMIT OR USE,NEWBUILD OR RESALE,LHF
R,11,,,"RHINDHOUSE PL,ROWANBANK",G69,1,1991,1990/1991,1991-01-01,1991 Q1,51000,130.2,1.91781874,97808.76,GLASGOW,Use,NEW,Baillieston Shettleston
R,6,,,"MICKLEHOUSE PL,SPRINGHILL",g69 6th,1,1991,1990/1991,1991-01-01,1991 Q1,48195,130.2,1.91781874,92429.27,DALGETY BAY,Use,NEW,Baillieston Shettleston
R,3,,,"MICKLEHOUSE OVAL,SPRINGHILL",G69,1,1991,1990/1991,1991-01-01,1991 Q1,46160,130.2,1.91781874,88526.51,GLASGOW,Use,NEW,Baillieston Shettleston
R,97,,,"MICKLEHOUSE RD,SPRINGHILL",G69,1,1991,1990/1991,1991-01-01,1991 Q1,53135,130.2,1.91781874,101903.3,COATBRIDGE,Use,NEW,Baillieston Shettleston
R,9,,,"QUEENSBY PL,SPRINGHILL FARM",G69,1,1991,1990/1991,1991-01-01,1991 Q1,58495,130.2,1.91781874,112182.81,GLASGOW,Use,NEW,Baillieston Shettleston
R,31,,,"SWINTON AVE,ROWANBANK",G69 6JW,1,1991,1990/1991,1991-01-01,1991 Q1,70350,130.2,1.91781874,134918.55,MOUNT VERNON,Use,NEW,Baillieston Shettleston
R,,,,SPRINGHILL,G69,1,1991,1990/1991,1991-01-01,1991 Q1,78750,130.2,1.91781874,151028.23,BAHAMAS,Use,NEW,Baillieston Shettleston
R,9,,,"QUEENSBY AVE,SPRINGHILL FARM",G69,1,1991,1990/1991,1991-01-01,1991 Q1,71995,130.2,1.91781874,138073.36,HOLYTOWN,Use,NEW,Baillieston Shettleston
R,56,,,"MICKLEHOUSE RD,SPRINGHILL",G69,1,1991,1990/1991,1991-01-01,1991 Q1,115000,130.2,1.91781874,220549.16,GLASGOW,Use,NEW,Baillieston Shettleston
R,,,,ROWANBANK,G69,1,1991,1990/1991,1991-01-01,1991 Q1,71000,130.2,1.91781874,136165.13,BAILLIESTON,Use,NEW,Baillieston Shettleston
R,46,,,"QUEENSBY RD,SPRINGHILL FARM",G69,1,1991,1990/1991,1991-01-01,1991 Q1,55495,130.2,1.91781874,106429.35,BAILLIESTON,Use,NEW,Baillieston Shettleston
R,44,,,"QUEENSBY RD,SPRINGHILL FARM",G69,1,1991,1990/1991,1991-01-01,1991 Q1,45995,130.2,1.91781874,88210.07,BAILLIESTON,Use,NEW,Baillieston Shettleston
R,83,,,"SWINTON AVE,ROWANBANK",g69 6ly,1,1991,1990/1991,1991-01-01,1991 Q1,56500,130.2,1.91781874,108356.76,GLASGOW,Use,NEW,Baillieston Shettleston
R,50,,,"MICKLEHOUSE RD,SPRINGHILL",G69,1,1991,1990/1991,1991-01-01,1991 Q1,117000,130.2,1.91781874,224384.79,GLASGOW,Use,NEW,Baillieston Shettleston
