CLASS,STNO,STnu,FLATPOSN,STNAME,POSTCODE,MONTH OF SALE,YEAR OF SALE (CALENDAR),YEAR OF SALE (BUSINESS),MONTH AND YEAR,QUARTER_(CALENDAR),ACTUAL PRICE AT POINT OF SALE,RPI,DEFLATOR,PRICE CONSTANT AT July 2013,ORIGINOFBUY,OMIT OR USE,NEWBUILD OR RESALE,LHF
R,16,,,"LANGLOOK CRES,THE LAURELS",G53 7NR,1,2006,2005/2006,2006-01-01,2006 Q1,249995,193.4,1.291106515,322770.17,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,106,,,"HARDRIDGE RD,HILLPARK GDNS",G52 1RJ,1,2006,2005/2006,2006-01-01,2006 Q1,124000,193.4,1.291106515,160097.21,GLASGOW,Use,NEW,Govan and Craigton
R,41,,,"BLACKSEY BURN DR,THE WILLO",G53 7SX,1,2006,2005/2006,2006-01-01,2006 Q1,405000,193.4,1.291106515,522898.14,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,220,,Apr-33,"WALLACE ST,KINGSTON QUAY",G5 8AJ,1,2006,2005/2006,2006-01-01,2006 Q1,175000,193.4,1.291106515,225943.64,ENFIELD,Use,NEW,Govan and Craigton
R,131,,G/R,"SHUNA ST,THE MONDRIAAN",G20 9QR,1,2006,2005/2006,2006-01-01,2006 Q1,116500,193.4,1.291106515,150413.91,GLASGOW,Use,NEW,Maryhill Kelvin and Canal
R,8,,,"GLENMUIR CT,MUIRSHIEL PARK",G53 6QP,1,2006,2005/2006,2006-01-01,2006 Q1,122950,193.4,1.291106515,158741.55,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,50,,G/2,"GARSCADDEN RD,GARSCADDEN GA",G15 6UL,1,2006,2005/2006,2006-01-01,2006 Q1,150000,193.4,1.291106515,193665.98,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,31,,,"DALMARNOCK DR,THE EDGE",G40 4LQ,1,2006,2005/2006,2006-01-01,2006 Q1,102000,193.4,1.291106515,131692.86,MONTROSE,Use,NEW,East Centre and Calton
R,51,,G/2,"DALMARNOCK DR,THE EDGE",G40 4LQ,1,2006,2005/2006,2006-01-01,2006 Q1,94500,193.4,1.291106515,122009.57,HOUSTON,Use,NEW,East Centre and Calton
R,12,,,"LANGHAUL AVE,MEADOW PARK",G53 7RW,1,2006,2005/2006,2006-01-01,2006 Q1,280000,193.4,1.291106515,361509.82,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,100,,02-Feb,"HOLM ST,ISOKON",G2 6SY,1,2006,2005/2006,2006-01-01,2006 Q1,165000,193.4,1.291106515,213032.58,UDDINGSTON,Use,NEW,Central and West
R,63,,,"FITZROY LANE,FITZROY MEWS",G3 7JD,1,2006,2005/2006,2006-01-01,2006 Q1,198000,193.4,1.291106515,255639.09,GLASGOW,Use,NEW,Central and West
R,31,,,"JORDANHILL CRES,JORDANHIL",G13 1UN,1,2006,2005/2006,2006-01-01,2006 Q1,439000,193.4,1.291106515,566795.76,GLASGOW,Use,NEW,Central and West
R,27,,G/L,"DAWSON RD,MILL WHARF",G4 9ST,1,2006,2005/2006,2006-01-01,2006 Q1,118500,193.4,1.291106515,152996.12,DUNDONALD,Use,NEW,Maryhill Kelvin and Canal
R,17,,,"BLACKSEY BURN DR,THE WILLO",G53 7SX,1,2006,2005/2006,2006-01-01,2006 Q1,279000,193.4,1.291106515,360218.72,ALLOWAY,Use,NEW,Greater Pollok and Newlands Auldburn
R,8,,06-Feb,"CRANSTON ST,THE MIZU",G3 8GG,1,2006,2005/2006,2006-01-01,2006 Q1,202625,193.4,1.291106515,261610.46,LONDON,Use,NEW,Central and West
R,171,,01-Feb,"CRAIGHALL RD,MILL WHARF",G4 9TN,1,2006,2005/2006,2006-01-01,2006 Q1,123995,193.4,1.291106515,160090.75,GLASGOW,Use,NEW,Maryhill Kelvin and Canal
R,220,,Apr-41,"WALLACE ST,KINGSTON QUAY",G5 8AJ,1,2006,2005/2006,2006-01-01,2006 Q1,186390,193.4,1.291106515,240649.34,ALMONBANK,Use,NEW,Govan and Craigton
R,53,,,"GLENMUIR DR,MUIRSHIEL PARK",G53 6UL,1,2006,2005/2006,2006-01-01,2006 Q1,102950,193.4,1.291106515,132919.42,ELIE,Use,NEW,Greater Pollok and Newlands Auldburn
R,303,,09-Jan,GLASGOW HARBOUR TERS,G11 6BQ,1,2006,2005/2006,2006-01-01,2006 Q1,350000,193.4,1.291106515,451887.28,GLASGOW,Use,NEW,Central and West
R,133,,,BAILLIESTON RD,G32 0TG,1,2006,2005/2006,2006-01-01,2006 Q1,120000,193.4,1.291106515,154932.78,CAMBUSLANG,Use,NEW,Baillieston Shettleston
R,10,,,"SHUNA CRES,THE MONDRIAAN",G20 9QS,1,2006,2005/2006,2006-01-01,2006 Q1,185995,193.4,1.291106515,240139.36,LENZIE,Use,NEW,Maryhill Kelvin and Canal
R,8,,F3,"CRANSTON ST,THE MIZU",G3 8GG,1,2006,2005/2006,2006-01-01,2006 Q1,203927,193.4,1.291106515,263291.48,LONDON,Use,NEW,Central and West
R,341,,4/M,GLASGOW HARBOUR TERS,G11 6BH,1,2006,2005/2006,2006-01-01,2006 Q1,209000,193.4,1.291106515,269841.26,GLASGOW,Use,NEW,Central and West
R,4,,3/R,"SHUNA CRES,THE MONDRIAAN",G20 9QS,1,2006,2005/2006,2006-01-01,2006 Q1,129995,193.4,1.291106515,167837.39,GLASGOW,Use,NEW,Maryhill Kelvin and Canal
R,53,,1/L,"DALMARNOCK DR,THE EDGE",G40 4LQ,1,2006,2005/2006,2006-01-01,2006 Q1,89500,193.4,1.291106515,115554.03,GLASGOW,Use,NEW,East Centre and Calton
R,5,,1/R,"PARKLANDS OVAL,TOWER VIEW",G53 7SZ,1,2006,2005/2006,2006-01-01,2006 Q1,159000,193.4,1.291106515,205285.94,TOBERONOCHY,Use,NEW,Greater Pollok and Newlands Auldburn
R,1,,,"BARSHAW DR,BOWFIELD",G52 4DT,1,2006,2005/2006,2006-01-01,2006 Q1,149995,193.4,1.291106515,193659.52,GLASGOW,Use,NEW,Govan and Craigton
R,169,,01-Feb,"CRAIGHALL RD,MILL WHARF",G4 9TN,1,2006,2005/2006,2006-01-01,2006 Q1,133000,193.4,1.291106515,171717.17,BISHOPBRIGGS,Use,NEW,Maryhill Kelvin and Canal
