CLASS,STNO,STnu,FLATPOSN,STNAME,POSTCODE,MONTH OF SALE,YEAR OF SALE (CALENDAR),YEAR OF SALE (BUSINESS),MONTH AND YEAR,QUARTER_(CALENDAR),ACTUAL PRICE AT POINT OF SALE,RPI,DEFLATOR,PRICE CONSTANT AT July 2013,ORIGINOFBUY,OMIT OR USE,NEWBUILD OR RESALE,LHF
R,1,,,"YARROW GDNS LANE,THE MEWS",G20 6RZ,3,2002,2001/2002,2002-03-01,2002 Q1,133000,174.5,1.430945559,190315.76,GLASGOW,Use,NEW,Baillieston Shettleston
R,29,,3/L,"NAPIERSHALL ST,NAPIERS GATE",G20 6EZ,1,2002,2001/2002,2002-01-01,2002 Q1,108500,173.3,1.44085401,156332.66,,Use,NEW,Central and West
R,12,,,"SILVER BIRCH DR,ELDER GROVE",G51 4EF,1,2002,2001/2002,2002-01-01,2002 Q1,105000,173.3,1.44085401,151289.67,GLASGOW,Use,NEW,Govan and Craigton
R,229,,,"BROCKBURN RD,CASTLE VIEW",G53 5TL,1,2002,2001/2002,2002-01-01,2002 Q1,54950,173.3,1.44085401,79174.93,GLASGOW,Use,NEW,Greater Pollok and Newlands Auldburn
R,33,,02-Feb,"NAPIERSHALL ST,NAPIERS GATE",G20 6EZ,1,2002,2001/2002,2002-01-01,2002 Q1,102000,173.3,1.44085401,146967.11,GLASGOW,Use,NEW,Central and West
R,31,,G/2,"NAPIERSHALL ST,NAPIERS GATE",G20 6EZ,1,2002,2001/2002,2002-01-01,2002 Q1,98000,173.3,1.44085401,141203.69,ABERDEEN,Use,NEW,Central and West
R,73,,S4,"PURDON ST,WESTHOUSE APARTMENTS",G11 6AF,1,2002,2001/2002,2002-01-01,2002 Q1,185000,173.3,1.44085401,266557.99,GLASGOW,Use,NEW,Central and West
R,103,,,"FORESTHALL DR,FORESTHALL PARK",G21 4EL,1,2002,2001/2002,2002-01-01,2002 Q1,75595,173.3,1.44085401,108921.36,GLASGOW,Use,NEW,Springburn
R,20,,,"SKAETHORN RD,HAVANA LOCK",G20 0TQ,1,2002,2001/2002,2002-01-01,2002 Q1,153950,173.3,1.44085401,221819.47,GLASGOW,Use,NEW,Maryhill Kelvin and Canal
R,16,,1/R,"STRATHBLANE GDNS,THE WATERWAYS",G13 1BF,1,2002,2001/2002,2002-01-01,2002 Q1,84000,173.3,1.44085401,121031.74,MILNGAVIE,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,9,,02-Feb,CASTLEBRAE GDNS,G44 4EB,1,2002,2001/2002,2002-01-01,2002 Q1,94000,173.3,1.44085401,135440.28,CLARKSTON,Use,NEW,Langside and Linn
R,38,,,"BARGANY PL,THE BEECHES",G53 7ER,1,2002,2001/2002,2002-01-01,2002 Q1,86000,173.3,1.44085401,123913.44,RENFREW,Use,NEW,Greater Pollok and Newlands Auldburn
R,37,,,"BONNYHOLM AVE,CARTSIDE GDNS",G53 5RL,1,2002,2001/2002,2002-01-01,2002 Q1,51500,173.3,1.44085401,74203.98,CLYDEBANK,Use,NEW,Govan and Craigton
R,12,,F7,"PARTICK BRIDGE ST,WESTERN GATE",G11 6PL,1,2002,2001/2002,2002-01-01,2002 Q1,127000,173.3,1.44085401,182988.46,GLASGOW,Use,NEW,Central and West
R,29,,1/L,"NAPIERSHALL ST,NAPIERS GATE",G20 6EZ,1,2002,2001/2002,2002-01-01,2002 Q1,106500,173.3,1.44085401,153450.95,GLASGOW,Use,NEW,Central and West
R,14,,FLAT 8,"NORVAL ST,THE PRINTWORKS",G11 7RX,1,2002,2001/2002,2002-01-01,2002 Q1,101000,173.3,1.44085401,145526.26,GLASGOW,Use,NEW,Central and West
R,16,,1/L,"STRATHBLANE GDNS,THE WATERWAYS",G13 1BF,1,2002,2001/2002,2002-01-01,2002 Q1,82000,173.3,1.44085401,118150.03,STRATHAVEN,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,31,,01-Feb,"NAPIERSHALL ST,NAPIERS GATE",G20 6EZ,1,2002,2001/2002,2002-01-01,2002 Q1,113000,173.3,1.44085401,162816.5,HONG KONG,Use,NEW,Central and West
R,30,,1/R,"HANDEL PL,CROWN GDNS",G5 0TP,1,2002,2001/2002,2002-01-01,2002 Q1,76995,173.3,1.44085401,110938.55,GLASGOW,Use,NEW,Pollokshields and Southside Central
R,5,,,LYNEDOCH PL,G3 6AB,1,2002,2001/2002,2002-01-01,2002 Q1,135000,173.3,1.44085401,194515.29,EDINBURGH,Use,NEW,Central and West
R,18,,,"STRATHBLANE GDNS,THE WATERWAYS",G13 1BF,1,2002,2001/2002,2002-01-01,2002 Q1,80000,173.3,1.44085401,115268.32,GLASGOW,Use,NEW,Drumchapel Anniesland and Garscadden Scotstounhill
R,29,,,"SILVER BIRCH DR,ELDER GROVE",G51 4EF,1,2002,2001/2002,2002-01-01,2002 Q1,115000,173.3,1.44085401,165698.21,GLASGOW,Use,NEW,Govan and Craigton
R,60,,,"KELVINHAUGH ST,KELVIN PARK",G3 8PF,1,2002,2001/2002,2002-01-01,2002 Q1,122000,173.3,1.44085401,175784.19,CHILWELL,Use,NEW,Central and West
