Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,crime_deprivation_rank_2006,crime_deprivation_rank_2009,crime_deprivation_rank_2012,crime_local_rank_2006,crime_local_rank_2009,crime_local_rank_2012
S01003572,Springburn,Springburn,Glasgow Springburn,322,288,545,66,51,106
S01003414,Easterhouse East,North East,Glasgow Baillieston,506,578,546,111,107,107
S01003082,Nitshill,Greater Pollok,Glasgow Pollok,199,829,547,40,148,108
S01003519,Firhill,Hillhead,Glasgow Maryhill,220,289,555,44,52,109
S01003255,Cardonald South and East,Craigton,Glasgow Pollok,418,199,557,89,35,110
S01003172,Strathbungo,Southside Central,Glasgow Shettleston,1062,879,563,228,160,111
S01003567,Cowlairs and Port Dundas,Canal,Glasgow Maryhill,531,758,566,121,135,112
S01003402,Central Easterhouse,North East,Glasgow Baillieston,796,319,569,179,62,113
S01003297,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,425,576,570,91,106,114
S01003269,Parkhead East and Braidfauld North,Shettleston,Glasgow Shettleston,1427,1840,577,290,330,115
S01003540,Keppochhill,Canal,Glasgow Maryhill,123,481,581,25,83,116
S01003249,Parkhead East and Braidfauld North,Shettleston,Glasgow Shettleston,1993,1777,586,380,323,117
S01003173,Strathbungo,Southside Central,Glasgow Govan,462,573,592,98,104,118
S01003669,Milton West,Canal,Glasgow Maryhill,1296,859,594,267,156,119
S01003521,Kelvingrove and University,Hillhead,Glasgow Kelvin,284,230,600,59,45,120
S01003708,Drumchapel North,Drumchapel/Anniesland,Glasgow Anniesland,413,313,603,88,59,121
S01003083,Nitshill,Greater Pollok,Glasgow Pollok,1227,1095,608,255,200,122
S01003444,"Garthamlock, Auchinlea and Gartloch",North East,Glasgow Baillieston,648,229,611,153,44,123
S01003470,Hillhead,Partick West,Glasgow Kelvin,1233,818,612,258,147,124
S01003198,Govanhill East and Aikenhead,Southside Central,Glasgow Shettleston,1596,1966,613,318,350,125
S01003501,Kelvingrove and University,Hillhead,Glasgow Kelvin,691,1103,622,162,201,126
S01003671,Anniesland West,Drumchapel/Anniesland,Glasgow Anniesland,2791,2761,623,482,441,127
S01003309,Old Shettleston and Parkhead North,Shettleston,Glasgow Shettleston,151,415,624,27,74,128
S01003495,Sighthill,Springburn,Glasgow Springburn,638,1596,626,149,303,129
S01003140,Crookston South,Greater Pollok,Glasgow Pollok,1613,1587,627,320,301,130
S01003672,Milton East,Canal,Glasgow Maryhill,409,503,631,87,90,131
S01003603,Knightswood East,Garscadden/Scotstounhill,Glasgow Anniesland,402,942,649,83,171,132
