Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,geographic_access_deprivation_rank_2004,geographic_access_deprivation_rank_2006,geographic_access_deprivation_rank_2009,geographic_access_deprivation_rank_2012,geographic_access_local_rank_2004,geographic_access_local_rank_2006,geographic_access_local_rank_2009,geographic_access_local_rank_2012
S01003666,Milton West,Canal,Glasgow Maryhill,3396,3501,3588,1875,184,150,136,27
S01003344,Penilee,Craigton,Glasgow Pollok,2129,3412,3954,1884,68,136,169,28
S01003202,Toryglen and Oatlands,Southside Central,Glasgow Shettleston,2188,1990,2210,1889,73,31,34,29
S01003613,Robroyston and Millerston,North East,Glasgow Springburn,1607,1479,1899,1925,33,8,18,30
S01003145,Carmyle and Mount Vernon South,Shettleston,Glasgow Baillieston,2461,2577,2147,1951,91,62,28,31
S01003082,Nitshill,Greater Pollok,Glasgow Pollok,5547,3076,3086,1957,472,103,91,32
S01003257,Pollokshields West,Pollokshields,Glasgow Govan,1138,3897,3498,1962,16,187,124,33
S01003374,Barlanark,Baillieston,Glasgow Baillieston,2779,3446,4901,1968,126,143,333,34
S01003715,Drumry West,Drumchapel/Anniesland,Glasgow Anniesland,1937,3908,2833,1969,53,190,72,35
S01003308,Penilee,Craigton,Glasgow Pollok,2507,3780,4120,1973,95,178,202,36
S01003250,Mosspark,Craigton,Glasgow Pollok,3909,3463,2300,2000,250,145,41,37
S01003699,Summerston Central and West,Maryhill/Kelvin,Glasgow Maryhill,827,778,1106,2001,3,1,1,38
S01003550,Robroyston and Millerston,North East,Glasgow Springburn,3008,2567,2109,2008,141,60,25,39
S01003693,Blairdardie East,Drumchapel/Anniesland,Glasgow Anniesland,2208,1731,2064,2031,75,20,23,40
S01003178,Mosspark,Craigton,Glasgow Pollok,976,2300,1942,2040,8,48,20,41
S01003317,Barlanark,Baillieston,Glasgow Baillieston,3300,2601,2864,2045,174,64,75,42
S01003330,Garrowhill East and Swinton,Baillieston,Glasgow Baillieston,3074,2465,2506,2051,153,52,53,43
S01003415,City Centre East,Anderston/City,Glasgow Kelvin,689,4782,3663,2076,1,313,147,44
S01003062,Darnley North,Greater Pollok,Glasgow Pollok,2885,1373,1684,2090,133,7,14,45
S01003214,Baillieston West,Baillieston,Glasgow Baillieston,2400,2193,2185,2098,86,42,32,46
S01003242,Kingston West and Dumbreck,Govan,Glasgow Govan,2736,3611,2425,2114,119,162,49,47
S01003212,Mount Vernon North and Sandyhills,Baillieston,Glasgow Baillieston,4532,2038,2354,2126,321,34,46,48
S01003607,Balornock,North East,Glasgow Springburn,1998,2658,2798,2135,57,71,70,49
S01003041,Darnley West,Greater Pollok,Glasgow Pollok,2712,1512,1274,2183,117,10,3,50
S01003695,Summerston North,Maryhill/Kelvin,Glasgow Maryhill,2304,1199,2428,2196,80,4,50,51
S01003681,Knightswood Park West,Garscadden/Scotstounhill,Glasgow Anniesland,5650,1767,2156,2198,492,21,29,52
S01003359,Garrowhill East and Swinton,Baillieston,Glasgow Baillieston,2452,2672,2187,2200,90,73,33,53
S01003653,Milton West,Canal,Glasgow Maryhill,2538,3345,4160,2252,101,127,213,54
S01003670,Maryhill East,Maryhill/Kelvin,Glasgow Maryhill,4540,1885,2720,2282,322,27,67,55
S01003109,Merrylee and Millbrae,Newlands/Auldburn,Glasgow Cathcart,3168,2551,2545,2297,164,59,57,56
S01003083,Nitshill,Greater Pollok,Glasgow Pollok,3551,2156,2589,2310,199,40,61,57
S01003058,Darnley West,Greater Pollok,Glasgow Pollok,4961,2628,2390,2325,387,68,48,58
S01003646,Knightswood Park East,Garscadden/Scotstounhill,Glasgow Anniesland,3295,2530,2911,2332,173,57,80,59
S01003641,Robroyston and Millerston,North East,Glasgow Springburn,1620,1790,2883,2336,34,22,76,60
S01003657,Milton East,Canal,Glasgow Maryhill,2652,3762,4209,2341,112,174,220,61
S01003680,Milton East,Canal,Glasgow Maryhill,3039,4184,4066,2394,148,220,188,62
S01003626,Robroyston and Millerston,North East,Glasgow Springburn,1912,1314,3024,2396,49,6,85,63
S01003705,Drumchapel South,Drumchapel/Anniesland,Glasgow Anniesland,2319,3356,4065,2400,81,129,187,64
S01003195,Carmyle and Mount Vernon South,Shettleston,Glasgow Baillieston,2286,1928,2338,2404,79,29,44,65
S01003376,Barlanark,Baillieston,Glasgow Baillieston,3340,4296,4767,2414,181,237,307,66
S01003360,Barlanark,Baillieston,Glasgow Baillieston,2983,2858,3224,2419,136,81,99,67
S01003032,Glenwood South,Linn,Glasgow Cathcart,1587,2947,3869,2427,32,88,160,68
S01003233,Mount Vernon North and Sandyhills,Shettleston,Glasgow Baillieston,3216,2570,2594,2433,167,61,62,69
S01003661,Anniesland East,Maryhill/Kelvin,Glasgow Anniesland,1996,1532,2217,2470,56,11,36,70
S01003708,Drumchapel North,Drumchapel/Anniesland,Glasgow Anniesland,2426,3546,4433,2479,87,155,255,71
S01003591,Kelvinside and Jordanhill,Partick West,Glasgow Anniesland,1696,3162,3352,2482,39,114,108,72
S01003672,Milton East,Canal,Glasgow Maryhill,2997,5633,5529,2483,138,453,445,73
S01003046,Glenwood North,Linn,Glasgow Cathcart,1541,1964,2122,2487,31,30,26,74
S01003204,Pollok North and East,Craigton,Glasgow Pollok,959,3140,3452,2496,7,112,121,75
S01003077,Carnwadric East,Newlands/Auldburn,Glasgow Cathcart,1990,2961,3379,2501,54,92,113,76
S01003110,Merrylee and Millbrae,Newlands/Auldburn,Glasgow Cathcart,3078,3307,3432,2508,154,124,117,77
S01003107,Crookston South,Greater Pollok,Glasgow Pollok,3012,2542,3293,2522,144,58,106,78
S01003456,Central Easterhouse,North East,Glasgow Baillieston,3969,3071,2661,2524,257,102,65,79
S01003332,Barlanark,Baillieston,Glasgow Baillieston,3853,4057,4282,2532,244,208,231,80
S01003674,Knightswood East,Garscadden/Scotstounhill,Glasgow Anniesland,5809,1879,3046,2544,524,26,88,81
S01003624,Possil Park,Canal,Glasgow Maryhill,2203,3711,4453,2568,74,168,258,82
S01003081,Carnwadric West,Newlands/Auldburn,Glasgow Cathcart,2614,3030,2955,2577,108,97,82,83
S01003623,Kelvindale,Maryhill/Kelvin,Glasgow Anniesland,2799,4424,3358,2586,127,262,109,84
S01003664,Maryhill East,Maryhill/Kelvin,Glasgow Maryhill,3768,3066,2656,2587,226,101,64,85
S01003476,"Garthamlock, Auchinlea and Gartloch",North East,Glasgow Baillieston,2375,3763,2925,2596,85,175,81,86
S01003230,Mosspark,Craigton,Glasgow Pollok,4018,4038,2964,2598,266,205,83,87
S01003694,Blairdardie West,Drumchapel/Anniesland,Glasgow Anniesland,2668,3627,3682,2599,114,163,149,88
S01003043,Glenwood North,Linn,Glasgow Cathcart,1636,1992,2313,2601,35,32,42,89
S01003323,Garrowhill West,Baillieston,Glasgow Baillieston,4627,3175,3064,2603,336,118,90,90
S01003436,Drumoyne and Shieldhall,Govan,Glasgow Govan,1756,2630,2794,2620,43,69,69,91
S01003123,Pollok South and West,Greater Pollok,Glasgow Pollok,1525,1582,2484,2648,30,12,51,92
S01003181,Pollok North and East,Craigton,Glasgow Pollok,1802,3440,3368,2656,44,141,111,93
S01003119,Kingspark North,Langside,Glasgow Rutherglen,3562,4346,4019,2688,201,247,179,94
S01003210,Maxwell Park,Pollokshields,Glasgow Govan,4574,5751,5106,2689,326,477,372,95
S01003677,Milton East,Canal,Glasgow Maryhill,3703,5682,5488,2693,215,461,437,96
S01003341,Garrowhill East and Swinton,Baillieston,Glasgow Baillieston,4669,3155,2135,2694,343,113,27,97
S01003029,Carmunnock South,Linn,Glasgow Cathcart,1432,2381,2289,2700,22,50,39,98
S01003414,Easterhouse East,North East,Glasgow Baillieston,2756,4056,4092,2709,121,207,196,99
S01003343,Barlanark,Baillieston,Glasgow Baillieston,3796,4108,4012,2722,232,213,178,100
S01003038,Darnley West,Greater Pollok,Glasgow Pollok,4066,3017,1416,2726,268,95,7,101
S01003042,Glenwood North,Linn,Glasgow Cathcart,1296,2126,3208,2731,20,38,97,102
S01003093,Newlands,Newlands/Auldburn,Glasgow Cathcart,2543,4843,4423,2741,103,321,252,103
S01003170,Maxwell Park,Pollokshields,Glasgow Govan,3828,5011,4243,2757,240,348,226,104
S01003645,Knightswood Park West,Garscadden/Scotstounhill,Glasgow Anniesland,4527,3396,3718,2763,320,134,152,105
S01003717,Drumry East,Drumchapel/Anniesland,Glasgow Anniesland,3095,4085,3673,2820,155,212,148,106
S01003180,Shettleston South,Shettleston,Glasgow Shettleston,1490,1903,2379,2830,28,28,47,107
S01003690,Knightswood Park West,Drumchapel/Anniesland,Glasgow Anniesland,3060,2624,3055,2834,152,67,89,108
S01003638,Kelvindale,Maryhill/Kelvin,Glasgow Anniesland,2187,2898,2863,2847,72,86,74,109
S01003621,Possil Park,Canal,Glasgow Maryhill,4336,3478,4226,2858,295,148,223,110
S01003224,Mount Vernon North and Sandyhills,Shettleston,Glasgow Baillieston,3189,3164,2532,2890,166,116,56,111
S01003080,Kingspark South,Linn,Glasgow Cathcart,3383,5047,4907,2895,183,353,335,112
S01003390,North Barlanark and Easterhouse South,Baillieston,Glasgow Baillieston,3274,4210,3941,2897,171,227,167,113
