Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,housing_deprivation_rank_2004,housing_deprivation_rank_2006,housing_deprivation_rank_2009,housing_deprivation_rank_2012,housing_local_rank_2004,housing_local_rank_2006,housing_local_rank_2009,housing_local_rank_2012
S01003081,Carnwadric West,Newlands/Auldburn,Glasgow Cathcart,5136,5136,5136,5136,677,677,677,677
S01003591,Kelvinside and Jordanhill,Partick West,Glasgow Anniesland,5139,5139,5139,5139,678,678,678,678
S01003276,Garrowhill West,Baillieston,Glasgow Baillieston,5145,5145,5145,5145,679,679,679,679
S01003569,Victoria Park,Partick West,Glasgow Anniesland,5261,5261,5261,5261,680,680,680,680
S01003559,Scotstoun North and East,Garscadden/Scotstounhill,Glasgow Kelvin,5292,5292,5292,5292,681,681,681,681
S01003321,Garrowhill East and Swinton,Baillieston,Glasgow Baillieston,5294,5294,5294,5294,682,682,682,682
S01003086,Newlands,Newlands/Auldburn,Glasgow Cathcart,5334,5334,5334,5334,683,683,683,683
S01003556,Scotstoun North and East,Garscadden/Scotstounhill,Glasgow Kelvin,5463,5463,5463,5463,684,684,684,684
S01003229,Pollokshields West,Pollokshields,Glasgow Govan,5587,5587,5587,5587,685,685,685,685
S01003660,Robroyston and Millerston,North East,Glasgow Springburn,5599,5599,5599,5599,686,686,686,686
S01003587,Kelvinside and Jordanhill,Partick West,Glasgow Anniesland,5652,5652,5652,5652,687,687,687,687
S01003641,Robroyston and Millerston,North East,Glasgow Springburn,5840,5840,5840,5840,688,688,688,688
S01003171,Maxwell Park,Pollokshields,Glasgow Govan,5855,5855,5855,5855,689,689,689,689
S01003074,Newlands,Newlands/Auldburn,Glasgow Cathcart,5935,5935,5935,5935,690,690,690,690
S01003071,Muirend and Old Cathcart,Newlands/Auldburn,Glasgow Cathcart,5982,5982,5982,5982,691,691,691,691
S01003095,Newlands,Newlands/Auldburn,Glasgow Cathcart,6062,6062,6062,6062,692,692,692,692
S01003110,Merrylee and Millbrae,Newlands/Auldburn,Glasgow Cathcart,6074,6074,6074,6074,693,693,693,693
S01003155,Pollok South and West,Greater Pollok,Glasgow Pollok,6173,6173,6173,6173,694,694,694,694
