Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,overall_deprivation_rank_2004,overall_deprivation_rank_2006,overall_deprivation_rank_2009,overall_deprivation_rank_2012,overall_local_rank_2004,overall_local_rank_2006,overall_local_rank_2009,overall_local_rank_2012
S01003164,Battlefield,Southside Central,Glasgow Shettleston,1645,1453,1820,2728,440,382,412,479
S01003165,Govanhill East and Aikenhead,Southside Central,Glasgow Shettleston,1583,1615,1706,1845,429,400,397,401
S01003166,Shawlands West,Pollokshields,Glasgow Govan,2731,2941,3802,3841,524,512,557,553
S01003167,Pollok South and West,Greater Pollok,Glasgow Pollok,164,466,522,452,133,220,213,190
S01003168,Shawlands West,Pollokshields,Glasgow Govan,2715,3163,3460,4652,523,521,536,597
S01003169,Pollok South and West,Greater Pollok,Glasgow Pollok,2125,2389,3543,3499,492,469,544,530
S01003170,Maxwell Park,Pollokshields,Glasgow Govan,4091,4269,3843,4136,602,590,562,572
S01003171,Maxwell Park,Pollokshields,Glasgow Govan,4717,5118,4684,4744,631,638,609,603
S01003172,Strathbungo,Southside Central,Glasgow Shettleston,1712,2104,2369,2187,448,451,453,430
S01003173,Strathbungo,Southside Central,Glasgow Govan,2330,3319,2765,3098,500,530,485,505
S01003174,Govanhill West,Southside Central,Glasgow Shettleston,1574,1745,1312,2226,428,413,352,434
S01003175,Govanhill East and Aikenhead,Southside Central,Glasgow Shettleston,517,623,456,695,289,265,196,242
S01003176,Strathbungo,Southside Central,Glasgow Govan,1584,966,1490,2070,430,330,371,421
S01003177,Strathbungo,Pollokshields,Glasgow Govan,4421,4695,4795,4355,615,610,615,583
S01003178,Mosspark,Craigton,Glasgow Pollok,289,880,1255,1273,206,309,346,335
S01003179,Govanhill West,Southside Central,Glasgow Shettleston,1382,2078,1648,2641,415,447,390,476
S01003180,Shettleston South,Shettleston,Glasgow Shettleston,3047,4092,4385,4507,547,577,589,589
S01003181,Pollok North and East,Craigton,Glasgow Pollok,272,522,561,439,195,238,224,184
S01003182,Pollok North and East,Greater Pollok,Glasgow Pollok,188,279,511,293,151,149,212,142
S01003183,Strathbungo,Southside Central,Glasgow Govan,1624,1948,2946,2283,435,432,500,443
S01003184,Pollok North and East,Craigton,Glasgow Pollok,69,167,170,105,60,104,91,63
S01003185,Govanhill East and Aikenhead,Southside Central,Glasgow Shettleston,216,159,123,427,167,98,73,182
S01003186,Maxwell Park,Pollokshields,Glasgow Govan,5264,5450,4589,4770,659,660,603,605
S01003187,Strathbungo,Pollokshields,Glasgow Govan,3256,3666,3456,3234,556,556,535,516
S01003188,Govanhill West,Southside Central,Glasgow Shettleston,607,941,1282,1170,313,327,347,321
S01003189,Govanhill West,Southside Central,Glasgow Shettleston,1203,1731,1654,1960,396,410,391,413
S01003190,Govanhill East and Aikenhead,Southside Central,Glasgow Shettleston,435,402,290,361,260,201,145,163
S01003191,Govanhill West,Southside Central,Glasgow Shettleston,761,495,972,1159,344,227,301,319
S01003192,Strathbungo,Southside Central,Glasgow Govan,935,1272,1007,1482,368,370,308,365
S01003193,Baillieston East,Baillieston,Glasgow Baillieston,1975,2769,3415,3692,471,505,531,543
S01003194,Braidfauld,Shettleston,Glasgow Shettleston,139,227,264,153,113,126,129,81
S01003195,Carmyle and Mount Vernon South,Shettleston,Glasgow Baillieston,2497,3191,3086,3107,510,523,508,506
S01003196,Maxwell Park,Pollokshields,Glasgow Govan,4761,5287,4175,4345,633,649,580,582
S01003197,Mount Vernon North and Sandyhills,Shettleston,Glasgow Baillieston,4051,4337,4468,3912,600,593,597,561
S01003198,Govanhill East and Aikenhead,Southside Central,Glasgow Shettleston,417,405,369,639,255,203,173,229
S01003199,Shettleston South,Shettleston,Glasgow Shettleston,1859,1568,1630,1521,458,394,389,366
S01003200,Govanhill West,Southside Central,Glasgow Shettleston,889,1114,1214,1475,364,353,343,364
S01003201,Dalmarnock,Calton,Glasgow Shettleston,21,547,1168,1334,18,247,334,343
S01003202,Toryglen and Oatlands,Southside Central,Glasgow Shettleston,89,109,108,218,75,69,64,113
S01003203,Mosspark,Craigton,Glasgow Pollok,1485,2235,1764,1452,422,459,404,361
S01003204,Pollok North and East,Craigton,Glasgow Pollok,512,845,892,801,286,306,287,259
S01003205,Dalmarnock,Calton,Glasgow Shettleston,11,66,86,87,11,45,51,53
S01003206,Govanhill West,Southside Central,Glasgow Shettleston,396,404,415,488,250,202,186,196
S01003207,Pollokshields East,Pollokshields,Glasgow Govan,1676,2156,1577,2193,446,456,378,432
S01003208,Braidfauld,Calton,Glasgow Shettleston,23,17,18,38,20,13,12,27
S01003209,Mosspark,Craigton,Glasgow Pollok,1607,2136,2101,2584,433,454,435,470
S01003210,Maxwell Park,Pollokshields,Glasgow Govan,4692,4498,4062,4395,630,601,569,586
S01003211,Pollokshields East,Pollokshields,Glasgow Govan,1625,2582,1842,2508,436,487,414,466
S01003212,Mount Vernon North and Sandyhills,Baillieston,Glasgow Baillieston,3664,3811,4549,4126,582,563,600,571
S01003213,Braidfauld,Shettleston,Glasgow Shettleston,828,918,704,897,355,321,254,279
S01003214,Baillieston West,Baillieston,Glasgow Baillieston,971,1188,1084,1019,372,363,320,298
S01003215,Pollok North and East,Craigton,Glasgow Pollok,478,1031,947,881,271,339,297,277
S01003216,Cardonald West and Central,Craigton,Glasgow Pollok,1917,2576,2076,1689,467,486,431,386
S01003217,Dalmarnock,Calton,Glasgow Shettleston,24,19,45,37,21,14,33,26
S01003218,Cardonald South and East,Craigton,Glasgow Pollok,1856,2460,2173,1712,457,473,442,388
S01003219,Mosspark,Craigton,Glasgow Pollok,1892,2632,2848,2715,465,491,490,478
S01003220,Pollokshields East,Pollokshields,Glasgow Govan,1621,1861,1184,1796,434,426,335,398
S01003221,Cardonald South and East,Craigton,Glasgow Pollok,210,387,367,362,164,196,172,164
S01003222,Pollokshields East,Pollokshields,Glasgow Govan,1361,1992,1432,2195,412,439,362,433
S01003223,Braidfauld,Shettleston,Glasgow Shettleston,173,347,414,242,139,181,185,123
S01003224,Mount Vernon North and Sandyhills,Shettleston,Glasgow Baillieston,4897,5111,5228,5151,642,637,642,634
S01003225,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,145,238,178,155,118,129,93,83
S01003226,Braidfauld,Calton,Glasgow Shettleston,158,263,237,227,130,142,118,116
S01003227,Pollokshields East,Pollokshields,Glasgow Govan,1739,1836,1470,2274,451,424,367,442
S01003228,Braidfauld,Shettleston,Glasgow Shettleston,402,559,687,813,251,251,249,265
S01003229,Pollokshields West,Pollokshields,Glasgow Govan,4823,5884,5455,5695,636,673,657,667
S01003230,Mosspark,Craigton,Glasgow Pollok,1454,1756,1926,2234,419,414,420,436
S01003231,Baillieston West,Baillieston,Glasgow Baillieston,627,742,879,865,320,284,286,274
S01003232,Laurieston and Tradeston,Southside Central,Glasgow Shettleston,71,68,109,84,62,47,65,51
S01003233,Mount Vernon North and Sandyhills,Shettleston,Glasgow Baillieston,5051,5184,5258,5366,647,643,644,647
S01003234,Pollokshields West,Pollokshields,Glasgow Govan,3761,4527,4164,4765,589,603,579,604
S01003235,Shettleston South,Shettleston,Glasgow Shettleston,1823,2536,2473,2418,456,479,464,459
S01003236,Pollokshields West,Pollokshields,Glasgow Govan,1057,1844,1207,2246,380,425,342,438
S01003237,Baillieston West,Baillieston,Glasgow Baillieston,412,653,690,606,253,270,251,223
S01003238,Cardonald West and Central,Craigton,Glasgow Pollok,2429,2699,2071,1773,505,499,430,395
S01003239,Cardonald South and East,Craigton,Glasgow Pollok,1651,1958,1578,1291,441,434,379,340
S01003240,Cardonald West and Central,Craigton,Glasgow Pollok,3888,3868,3875,3440,595,564,563,527
S01003241,Shettleston South,Shettleston,Glasgow Shettleston,2902,3658,4150,4391,537,554,577,585
S01003242,Kingston West and Dumbreck,Govan,Glasgow Govan,1930,2243,2123,1885,469,461,436,406
S01003243,Cardonald West and Central,Craigton,Glasgow Pollok,2083,2140,1981,1841,486,455,424,400
S01003244,Baillieston East,Baillieston,Glasgow Baillieston,300,421,421,443,213,207,188,185
S01003245,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,45,99,165,215,40,61,88,110
S01003246,Shettleston North,Shettleston,Glasgow Shettleston,191,208,122,72,153,120,72,43
S01003247,Parkhead East and Braidfauld North,Calton,Glasgow Shettleston,251,434,592,553,184,210,233,212
S01003248,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,299,241,283,544,212,130,142,209
S01003249,Parkhead East and Braidfauld North,Shettleston,Glasgow Shettleston,1096,1597,1185,1001,383,398,336,293
S01003250,Mosspark,Craigton,Glasgow Pollok,1532,1924,1710,1938,425,429,398,410
S01003251,Dalmarnock,Calton,Glasgow Shettleston,87,114,113,85,74,72,67,52
S01003252,Baillieston West,Baillieston,Glasgow Baillieston,4269,4349,4758,4866,609,595,612,611
S01003253,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,15,8,7,5,14,4,6,3
S01003254,Dalmarnock,Calton,Glasgow Shettleston,30,45,99,119,27,31,57,67
S01003255,Cardonald South and East,Craigton,Glasgow Pollok,1637,1824,1660,1337,439,423,393,344
S01003256,Pollokshields West,Pollokshields,Glasgow Govan,228,226,197,195,173,125,102,104
S01003257,Pollokshields West,Pollokshields,Glasgow Govan,2709,3639,2996,3387,522,552,503,522
S01003258,Baillieston West,Baillieston,Glasgow Baillieston,3727,3952,4535,4487,587,572,599,588
S01003259,Baillieston East,Baillieston,Glasgow Baillieston,2909,3373,3330,3094,539,535,524,504
S01003260,Mount Vernon North and Sandyhills,Shettleston,Glasgow Baillieston,4262,4398,4794,5146,608,598,614,633
S01003261,Cardonald West and Central,Craigton,Glasgow Pollok,4748,4857,4969,4850,632,620,626,608
S01003262,Tollcross,Shettleston,Glasgow Shettleston,367,386,479,449,240,195,200,189
S01003263,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,134,155,298,297,109,94,149,145
S01003264,Mosspark,Govan,Glasgow Pollok,1740,2327,2386,2150,452,463,458,427
S01003265,Cardonald West and Central,Craigton,Glasgow Pollok,2413,2507,2893,2634,504,477,497,475
S01003266,Tollcross,Shettleston,Glasgow Shettleston,801,1011,987,1196,348,336,305,325
S01003267,Shettleston North,Shettleston,Glasgow Shettleston,831,1067,1048,693,357,347,313,241
S01003268,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,1229,1539,1969,1878,401,393,423,404
S01003269,Parkhead East and Braidfauld North,Shettleston,Glasgow Shettleston,595,545,589,370,310,246,231,166
S01003270,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,437,162,313,238,261,100,151,122
S01003271,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,553,669,1082,1117,299,273,319,313
S01003272,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,16,194,273,384,15,114,137,168
S01003273,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,74,43,54,34,64,30,37,23
S01003274,Laurieston and Tradeston,Southside Central,Glasgow Shettleston,9,163,201,89,9,101,104,55
S01003275,Shettleston North,Shettleston,Glasgow Shettleston,645,701,732,882,321,278,260,278
S01003276,Garrowhill West,Baillieston,Glasgow Baillieston,5482,5180,5511,5324,671,642,660,644
S01003277,Baillieston East,Baillieston,Glasgow Baillieston,1228,1186,1455,1446,400,361,365,360
S01003278,Cardonald North,Craigton,Glasgow Pollok,2671,3343,2793,2907,521,534,487,493
S01003279,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,8,62,1,7,8,42,1,5
S01003280,Kingston West and Dumbreck,Govan,Glasgow Govan,2821,2377,2195,2024,534,467,444,416
S01003281,Tollcross,Shettleston,Glasgow Shettleston,347,360,1117,649,236,185,327,232
S01003282,Cardonald West and Central,Craigton,Glasgow Pollok,4279,4245,4307,4513,610,588,584,590
S01003283,Garrowhill West,Baillieston,Glasgow Baillieston,3846,4242,4408,3859,593,587,590,554
S01003284,Craigton,Govan,Glasgow Pollok,977,1163,1422,840,375,358,360,270
S01003285,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,197,330,325,1591,156,171,158,379
S01003286,Kingston West and Dumbreck,Pollokshields,Glasgow Govan,620,834,822,1017,316,304,276,297
S01003287,Cardonald North,Craigton,Glasgow Pollok,416,464,588,423,254,219,230,180
S01003288,Garrowhill West,Baillieston,Glasgow Baillieston,5315,5098,5406,4932,661,635,652,617
S01003289,Parkhead East and Braidfauld North,Shettleston,Glasgow Shettleston,250,107,1205,831,183,67,341,267
S01003290,Tollcross,Shettleston,Glasgow Shettleston,1224,1239,833,652,399,364,279,234
S01003291,Penilee,Craigton,Glasgow Pollok,269,299,254,296,193,158,124,144
S01003292,Garrowhill West,Baillieston,Glasgow Baillieston,3703,3468,3635,3691,584,543,549,542
S01003293,Shettleston North,Shettleston,Glasgow Shettleston,131,186,238,108,107,112,119,64
S01003294,Craigton,Govan,Glasgow Pollok,829,814,914,1092,356,300,290,310
S01003295,Greenfield,Shettleston,Glasgow Baillieston,3503,4057,4158,4173,575,575,578,576
S01003296,Parkhead West and Barrowfield,Shettleston,Glasgow Shettleston,26,10,28,24,23,6,20,16
S01003297,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,101,86,184,176,85,53,95,94
S01003298,Hillington,Craigton,Glasgow Pollok,3471,2899,3321,2338,571,510,523,454
S01003299,Parkhead East and Braidfauld North,Shettleston,Glasgow Shettleston,25,307,29,266,22,160,21,133
S01003300,Baillieston East,Baillieston,Glasgow Baillieston,2260,2753,2937,2510,495,502,499,467
S01003301,Tollcross,Shettleston,Glasgow Shettleston,372,271,316,197,243,145,153,105
S01003302,Laurieston and Tradeston,Southside Central,Glasgow Shettleston,7,24,291,185,7,19,146,99
S01003303,Laurieston and Tradeston,Govan,Glasgow Govan,649,504,1218,1552,324,232,344,372
S01003304,Kingston West and Dumbreck,Govan,Glasgow Govan,1721,2471,2517,2501,449,475,467,465
S01003305,Shettleston North,Baillieston,Glasgow Baillieston,3252,3331,2652,2035,555,532,477,417
S01003306,Craigton,Govan,Glasgow Pollok,869,1260,1091,975,361,367,322,288
S01003307,Cardonald North,Craigton,Glasgow Pollok,449,644,634,499,266,269,237,197
S01003308,Penilee,Craigton,Glasgow Pollok,524,636,686,924,291,267,248,283
S01003309,Old Shettleston and Parkhead North,Shettleston,Glasgow Shettleston,90,31,50,58,76,23,35,36
S01003310,Cardonald North,Craigton,Glasgow Pollok,1466,1693,1612,1352,420,405,387,347
S01003311,Garrowhill West,Baillieston,Glasgow Baillieston,4258,4672,4828,4705,607,609,618,599
S01003312,Penilee,Craigton,Glasgow Pollok,257,497,666,856,188,229,246,273
S01003313,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,18,213,104,77,17,121,60,47
S01003314,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,102,13,69,42,86,9,43,28
S01003315,Kinning Park and Festival Park,Govan,Glasgow Govan,2104,2586,2409,2252,490,488,460,439
S01003316,Ibrox East and Cessnock,Govan,Glasgow Govan,623,835,970,934,317,305,300,284
S01003317,Barlanark,Baillieston,Glasgow Baillieston,2534,2606,2615,2139,514,490,474,425
S01003318,Garrowhill East and Swinton,Baillieston,Glasgow Baillieston,3450,4098,4424,4073,567,578,594,570
S01003319,Craigton,Govan,Glasgow Govan,32,500,2354,5108,29,230,452,632
S01003320,Kinning Park and Festival Park,Govan,Glasgow Govan,1594,2383,3301,3119,431,468,520,508
S01003321,Garrowhill East and Swinton,Baillieston,Glasgow Baillieston,3157,3526,3414,3689,552,548,530,541
S01003322,Ibrox East and Cessnock,Govan,Glasgow Govan,616,760,664,1003,315,289,245,294
S01003323,Garrowhill West,Baillieston,Glasgow Baillieston,4283,4247,4274,4589,611,589,583,592
S01003324,Ibrox East and Cessnock,Govan,Glasgow Govan,205,328,797,1562,160,170,273,373
S01003325,Hillington,Craigton,Glasgow Pollok,3692,3684,3806,2955,583,557,558,498
S01003326,Cardonald North,Craigton,Glasgow Pollok,759,754,655,567,343,288,243,217
S01003327,Kinning Park and Festival Park,Govan,Glasgow Govan,597,821,858,967,311,301,282,286
S01003328,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,1293,1326,2155,2928,404,372,440,494
S01003329,Greenfield,Baillieston,Glasgow Baillieston,1332,1120,1532,1656,406,355,375,383
S01003330,Garrowhill East and Swinton,Baillieston,Glasgow Baillieston,5120,5350,5623,5317,651,651,667,643
S01003331,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,83,92,106,231,71,56,62,119
S01003332,Barlanark,Baillieston,Glasgow Baillieston,249,454,604,818,182,215,234,266
S01003333,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,51,295,408,356,46,157,183,161
S01003334,Penilee,Craigton,Glasgow Pollok,493,764,861,1031,278,290,283,300
S01003335,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,685,705,1126,1443,331,279,329,359
S01003336,Greenfield,Baillieston,Glasgow Baillieston,174,172,222,129,140,107,110,72
S01003337,Old Shettleston and Parkhead North,East Centre,Glasgow Baillieston,43,21,13,25,38,16,10,17
S01003338,Kinning Park and Festival Park,Govan,Glasgow Govan,1150,1813,1600,2312,390,422,383,451
S01003339,Hillington,Craigton,Glasgow Pollok,2081,1986,2251,1927,485,438,447,409
S01003340,Greenfield,Baillieston,Glasgow Baillieston,657,798,739,650,327,297,263,233
S01003341,Garrowhill East and Swinton,Baillieston,Glasgow Baillieston,4502,4669,4955,4852,618,608,625,610
S01003342,Gallowgate North and Bellgrove,Calton,Glasgow Shettleston,22,52,42,151,19,35,30,80
S01003343,Barlanark,Baillieston,Glasgow Baillieston,67,65,117,121,58,44,69,68
S01003344,Penilee,Craigton,Glasgow Pollok,427,1888,2763,2593,258,427,484,472
S01003345,Hillington,Craigton,Glasgow Pollok,2113,2103,1723,1300,491,450,400,341
S01003346,Craigton,Govan,Glasgow Govan,497,617,533,589,280,263,219,220
S01003347,Carntyne West and Haghill,Calton,Glasgow Shettleston,31,7,43,33,28,3,31,22
S01003348,Kinning Park and Festival Park,Govan,Glasgow Govan,1628,2467,2456,2333,437,474,462,453
S01003349,Drumoyne and Shieldhall,Govan,Glasgow Govan,63,157,389,541,55,96,178,208
S01003350,Penilee,Craigton,Glasgow Pollok,296,453,1090,1105,211,214,321,311
S01003351,Ibrox East and Cessnock,Govan,Glasgow Govan,254,568,575,508,186,254,227,200
S01003352,Barlanark,Baillieston,Glasgow Baillieston,287,149,132,283,204,90,78,139
S01003353,Carntyne West and Haghill,Calton,Glasgow Springburn,129,141,169,273,106,86,90,136
S01003354,Old Shettleston and Parkhead North,East Centre,Glasgow Baillieston,175,281,317,277,141,150,154,137
S01003355,Gallowgate North and Bellgrove,Calton,Glasgow Springburn,690,917,1081,1276,332,320,318,336
S01003356,Gallowgate North and Bellgrove,Calton,Glasgow Springburn,245,243,191,146,180,131,99,77
S01003357,Ibrox,Govan,Glasgow Govan,17,41,83,471,16,28,49,193
S01003358,City Centre East,Anderston/City,Glasgow Kelvin,1149,1149,1309,1847,389,357,351,402
S01003359,Garrowhill East and Swinton,Baillieston,Glasgow Baillieston,4800,5547,5194,5100,634,665,640,630
S01003360,Barlanark,Baillieston,Glasgow Baillieston,1386,1593,1667,1670,416,397,396,384
S01003361,Greenfield,Baillieston,Glasgow Baillieston,285,526,558,581,202,239,223,219
S01003362,Penilee,Craigton,Glasgow Pollok,528,766,811,579,292,291,275,218
S01003363,Greenfield,Baillieston,Glasgow Baillieston,537,893,854,726,295,314,281,247
S01003364,Govan and Linthouse,Govan,Glasgow Govan,39,36,302,248,34,25,150,124
S01003365,Ibrox,Govan,Glasgow Govan,242,340,737,741,177,178,262,251
S01003366,City Centre East,Anderston/City,Glasgow Kelvin,2903,3940,4148,4833,538,570,576,607
S01003367,Govan and Linthouse,Govan,Glasgow Govan,29,23,22,35,26,18,16,24
S01003368,Gallowgate North and Bellgrove,Calton,Glasgow Shettleston,2383,1269,4049,4919,502,368,568,614
S01003369,Old Shettleston and Parkhead North,East Centre,Glasgow Baillieston,313,438,564,400,220,212,225,172
S01003370,Dennistoun,East Centre,Glasgow Springburn,2432,3506,3384,3868,506,546,528,556
S01003371,Dennistoun,East Centre,Glasgow Springburn,1335,2642,3717,3272,407,493,555,518
S01003372,"Cranhill, Lightburn and Queenslie South",Baillieston,Glasgow Baillieston,334,322,266,373,231,167,131,167
S01003373,City Centre West,Anderston/City,Glasgow Kelvin,110,94,366,555,92,57,171,213
S01003374,Barlanark,Baillieston,Glasgow Baillieston,149,292,265,199,122,155,130,106
S01003375,Drumoyne and Shieldhall,Govan,Glasgow Govan,1136,1611,1663,1537,386,399,394,369
S01003376,Barlanark,Baillieston,Glasgow Baillieston,171,97,94,49,138,59,56,30
S01003377,"Cranhill, Lightburn and Queenslie South",Baillieston,Glasgow Baillieston,581,594,764,767,307,258,268,255
S01003378,Carntyne West and Haghill,East Centre,Glasgow Springburn,132,556,777,750,108,250,272,252
S01003379,North Barlanark and Easterhouse South,Baillieston,Glasgow Baillieston,1,12,27,10,1,8,19,6
S01003380,Dennistoun,East Centre,Glasgow Springburn,1380,2066,2374,2936,414,445,455,497
S01003381,Carntyne West and Haghill,East Centre,Glasgow Springburn,1157,1507,1715,1651,392,388,399,382
S01003382,Anderston,Anderston/City,Glasgow Kelvin,307,1063,1831,2773,216,345,413,482
S01003383,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,880,1065,1120,1226,362,346,328,329
S01003384,Drumoyne and Shieldhall,Govan,Glasgow Govan,810,904,1006,715,352,317,307,246
S01003385,Dennistoun,East Centre,Glasgow Springburn,2267,3087,3681,3292,496,515,553,520
S01003386,Drumoyne and Shieldhall,Govan,Glasgow Govan,458,597,638,420,268,260,239,178
S01003387,Carntyne West and Haghill,East Centre,Glasgow Springburn,428,414,370,399,259,204,174,171
S01003388,Ibrox,Govan,Glasgow Govan,126,181,150,177,104,111,82,95
S01003389,Carntyne West and Haghill,East Centre,Glasgow Springburn,178,121,185,175,144,76,96,93
S01003390,North Barlanark and Easterhouse South,Baillieston,Glasgow Baillieston,44,15,33,36,39,11,23,25
S01003391,Dennistoun,East Centre,Glasgow Springburn,378,269,281,169,245,144,141,90
S01003392,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,1137,1700,2100,2292,387,406,434,447
S01003393,Carntyne,East Centre,Glasgow Springburn,556,768,980,808,301,292,304,263
S01003394,Easterhouse East,North East,Glasgow Baillieston,423,777,931,760,256,295,293,253
S01003395,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,1867,2355,2920,2990,462,465,498,502
S01003396,Govan and Linthouse,Govan,Glasgow Govan,161,140,226,424,132,85,112,181
S01003397,North Barlanark and Easterhouse South,Baillieston,Glasgow Baillieston,47,16,21,27,42,12,15,19
S01003398,Easterhouse East,North East,Glasgow Baillieston,570,562,500,341,303,252,208,154
S01003399,City Centre East,Anderston/City,Glasgow Kelvin,2287,3454,3953,4029,498,541,567,567
S01003400,Carntyne,East Centre,Glasgow Springburn,626,952,774,805,319,328,271,261
S01003401,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,80,70,41,12,69,48,29,8
S01003402,Central Easterhouse,North East,Glasgow Baillieston,79,37,35,11,68,26,24,7
S01003403,Finnieston and Kelvinhaugh,Anderston/City,Glasgow Kelvin,496,1187,1619,2036,279,362,388,418
S01003404,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,120,165,103,78,100,102,59,48
S01003405,Easterhouse East,North East,Glasgow Baillieston,598,907,1071,849,312,318,317,271
S01003406,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,1049,1626,1799,1880,378,402,409,405
S01003407,Carntyne,East Centre,Glasgow Springburn,863,1290,1582,1409,360,371,381,354
S01003408,Anderston,Anderston/City,Glasgow Kelvin,371,551,536,1051,242,248,220,304
S01003409,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,974,1518,2273,2353,374,391,448,455
S01003410,City Centre West,Anderston/City,Glasgow Kelvin,1530,2210,2372,2834,424,458,454,485
S01003411,Drumoyne and Shieldhall,Govan,Glasgow Govan,406,462,490,406,252,218,206,175
S01003412,Govan and Linthouse,Govan,Glasgow Govan,362,682,849,733,239,274,280,249
S01003413,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,491,656,699,1076,277,271,253,307
S01003414,Easterhouse East,North East,Glasgow Baillieston,255,176,259,158,187,108,126,85
S01003415,City Centre East,Anderston/City,Glasgow Kelvin,805,1184,2037,2065,351,360,429,419
S01003416,City Centre East,Anderston/City,Glasgow Springburn,150,248,186,165,123,134,97,86
S01003417,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,1728,2239,2717,2629,450,460,480,474
S01003418,Govan and Linthouse,Govan,Glasgow Govan,108,178,119,134,90,109,70,74
S01003419,Craigend and Ruchazie,East Centre,Glasgow Baillieston,65,57,36,55,56,39,25,34
S01003420,North Barlanark and Easterhouse South,North East,Glasgow Baillieston,28,143,278,739,25,87,140,250
S01003421,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,324,356,139,217,226,184,81,112
S01003422,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,261,503,766,1077,189,231,269,308
S01003423,Anderston,Anderston/City,Glasgow Kelvin,3345,4341,4706,4169,563,594,611,575
S01003424,Drumoyne and Shieldhall,Govan,Glasgow Govan,373,336,324,166,244,176,157,87
S01003425,Finnieston and Kelvinhaugh,Anderston/City,Glasgow Kelvin,1979,3442,3303,3733,472,539,521,549
S01003426,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,1151,1367,1495,1574,391,375,372,375
S01003427,Carntyne,East Centre,Glasgow Springburn,529,575,708,645,293,255,257,231
S01003428,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,6,42,26,53,6,29,18,33
S01003429,Finnieston and Kelvinhaugh,Anderston/City,Glasgow Kelvin,3491,4960,5681,5589,574,625,671,657
S01003430,Anderston,Anderston/City,Glasgow Kelvin,2067,2368,3502,3155,482,466,539,509
S01003431,Riddrie and Hogganfield,East Centre,Glasgow Springburn,382,541,471,385,246,245,199,169
S01003432,Finnieston and Kelvinhaugh,Anderston/City,Glasgow Kelvin,2977,4964,4951,4153,544,626,624,573
S01003433,City Centre West,Anderston/City,Glasgow Kelvin,3488,2541,3404,3788,572,480,529,550
S01003434,Central Easterhouse,North East,Glasgow Baillieston,116,144,174,118,97,88,92,66
S01003435,Central Easterhouse,North East,Glasgow Baillieston,48,55,68,90,43,37,42,56
S01003436,Drumoyne and Shieldhall,Govan,Glasgow Govan,2394,1515,1102,1590,503,390,325,378
S01003437,Finnieston and Kelvinhaugh,Anderston/City,Glasgow Kelvin,2939,3275,4320,4736,543,527,585,601
S01003438,Finnieston and Kelvinhaugh,Anderston/City,Glasgow Kelvin,2019,3459,4465,4899,478,542,596,613
S01003439,City Centre East,Anderston/City,Glasgow Kelvin,125,158,192,216,103,97,100,111
S01003440,Riddrie and Hogganfield,East Centre,Glasgow Springburn,737,923,1202,795,341,323,340,258
S01003441,Govan and Linthouse,Govan,Glasgow Govan,111,98,211,124,93,60,107,71
S01003442,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,76,195,347,602,66,115,164,222
S01003443,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,72,75,154,332,63,50,84,151
S01003444,"Garthamlock, Auchinlea and Gartloch",North East,Glasgow Baillieston,53,51,20,30,48,34,14,21
S01003445,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,208,273,832,985,162,146,278,290
S01003446,City Centre West,Anderston/City,Glasgow Kelvin,1784,2671,2890,3577,453,496,496,534
