Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,overall_deprivation_rank_2004,overall_deprivation_rank_2006,overall_deprivation_rank_2009,overall_deprivation_rank_2012,overall_local_rank_2004,overall_local_rank_2006,overall_local_rank_2009,overall_local_rank_2012
S01003662,Knightswood Park West,Garscadden/Scotstounhill,Glasgow Anniesland,383,902,697,1032,247,316,252,301
S01003663,Maryhill West,Maryhill/Kelvin,Glasgow Maryhill,239,169,218,190,175,105,108,103
S01003664,Maryhill East,Maryhill/Kelvin,Glasgow Maryhill,439,615,546,628,262,262,221,227
S01003665,Maryhill East,Maryhill/Kelvin,Glasgow Maryhill,81,58,37,19,70,40,26,13
S01003666,Milton West,Canal,Glasgow Maryhill,121,56,40,16,101,38,28,11
S01003667,Yoker North,Garscadden/Scotstounhill,Glasgow Anniesland,2210,2787,3097,3389,494,506,510,523
S01003668,Anniesland West,Garscadden/Scotstounhill,Glasgow Anniesland,960,1119,1474,1967,371,354,368,414
S01003669,Milton West,Canal,Glasgow Maryhill,341,865,735,911,234,308,261,280
S01003670,Maryhill East,Maryhill/Kelvin,Glasgow Maryhill,179,198,268,262,145,117,133,131
S01003671,Anniesland West,Drumchapel/Anniesland,Glasgow Anniesland,589,1105,1601,1438,308,352,384,358
S01003672,Milton East,Canal,Glasgow Maryhill,78,81,47,48,67,52,34,29
S01003673,Maryhill West,Maryhill/Kelvin,Glasgow Maryhill,34,25,32,51,30,20,22,32
S01003674,Knightswood East,Garscadden/Scotstounhill,Glasgow Anniesland,1008,1254,1480,1279,376,366,370,337
S01003675,Anniesland East,Drumchapel/Anniesland,Glasgow Anniesland,5016,5168,4643,4984,646,640,605,622
S01003676,Anniesland West,Drumchapel/Anniesland,Glasgow Anniesland,536,1792,2592,3431,294,418,472,525
S01003677,Milton East,Canal,Glasgow Maryhill,651,926,940,811,325,324,294,264
S01003678,Yoker North,Garscadden/Scotstounhill,Glasgow Anniesland,952,1130,1247,1071,369,356,345,305
S01003679,Knightswood West,Garscadden/Scotstounhill,Glasgow Anniesland,471,509,528,552,269,235,217,211
S01003680,Milton East,Canal,Glasgow Maryhill,119,152,188,189,99,92,98,102
S01003681,Knightswood Park West,Garscadden/Scotstounhill,Glasgow Anniesland,1415,1761,1858,1722,418,415,416,389
S01003682,Summerston North,Maryhill/Kelvin,Glasgow Maryhill,3214,3476,3636,3804,554,545,550,552
S01003683,Blairdardie East,Garscadden/Scotstounhill,Glasgow Anniesland,1674,1952,2014,2288,445,433,428,446
S01003684,Blairdardie East,Drumchapel/Anniesland,Glasgow Anniesland,670,1093,1353,1367,329,351,357,350
S01003685,Yoker North,Garscadden/Scotstounhill,Glasgow Anniesland,1185,1790,1792,1682,394,417,408,385
S01003686,Summerston Central and West,Maryhill/Kelvin,Glasgow Maryhill,490,695,952,1129,276,276,298,315
S01003687,Milton East,Canal,Glasgow Maryhill,62,96,53,18,54,58,36,12
S01003688,Summerston North,Maryhill/Kelvin,Glasgow Maryhill,646,771,1110,1136,322,293,326,317
S01003689,Blairdardie East,Drumchapel/Anniesland,Glasgow Anniesland,153,112,233,168,125,71,116,89
S01003690,Knightswood Park West,Drumchapel/Anniesland,Glasgow Anniesland,483,481,428,173,273,224,191,91
S01003691,Summerston Central and West,Maryhill/Kelvin,Glasgow Maryhill,1868,2084,2639,2549,463,448,475,469
S01003692,Blairdardie East,Drumchapel/Anniesland,Glasgow Anniesland,1069,1382,1335,1328,381,376,356,342
S01003693,Blairdardie East,Drumchapel/Anniesland,Glasgow Anniesland,746,626,706,968,342,266,255,287
S01003694,Blairdardie West,Drumchapel/Anniesland,Glasgow Anniesland,2786,3133,3425,2933,530,519,533,496
S01003695,Summerston North,Maryhill/Kelvin,Glasgow Maryhill,883,989,1187,1246,363,333,337,333
S01003696,Blairdardie East,Drumchapel/Anniesland,Glasgow Anniesland,736,913,1094,1132,340,319,324,316
S01003697,Blairdardie West,Drumchapel/Anniesland,Glasgow Anniesland,4856,5244,5624,5392,640,646,668,651
S01003698,Blairdardie West,Drumchapel/Anniesland,Glasgow Anniesland,1903,2180,2798,2145,466,457,488,426
S01003699,Summerston Central and West,Maryhill/Kelvin,Glasgow Maryhill,3794,4011,4255,4607,592,574,582,595
S01003700,Summerston North,Maryhill/Kelvin,Glasgow Maryhill,1303,1628,1655,1600,405,403,392,381
S01003701,Blairdardie East,Drumchapel/Anniesland,Glasgow Anniesland,333,375,422,317,230,189,189,148
S01003702,Drumchapel South,Drumchapel/Anniesland,Glasgow Anniesland,244,364,247,156,179,186,121,84
S01003703,Drumchapel South,Drumchapel/Anniesland,Glasgow Anniesland,693,822,997,654,333,302,306,235
S01003704,Drumry West,Drumchapel/Anniesland,Glasgow Anniesland,207,323,412,272,161,168,184,135
S01003705,Drumchapel South,Drumchapel/Anniesland,Glasgow Anniesland,159,230,153,182,131,128,83,98
S01003706,Drumchapel South,Drumchapel/Anniesland,Glasgow Anniesland,127,118,90,68,105,75,53,41
S01003707,Drumry West,Drumchapel/Anniesland,Glasgow Anniesland,86,63,127,154,73,43,76,82
S01003708,Drumchapel North,Drumchapel/Anniesland,Glasgow Anniesland,12,26,9,13,12,21,7,9
S01003709,Drumry East,Drumchapel/Anniesland,Glasgow Anniesland,40,28,10,6,35,22,8,4
S01003710,Summerston Central and West,Canal,Glasgow Maryhill,185,268,182,461,149,143,94,192
S01003711,Drumchapel North,Drumchapel/Anniesland,Glasgow Anniesland,98,104,64,81,83,64,41,49
S01003712,Drumry West,Drumchapel/Anniesland,Glasgow Anniesland,243,321,230,407,178,166,114,176
S01003713,Drumry East,Drumchapel/Anniesland,Glasgow Anniesland,147,334,481,538,120,174,201,205
S01003714,Drumchapel North,Drumchapel/Anniesland,Glasgow Anniesland,309,418,976,1112,217,205,302,312
S01003715,Drumry West,Drumchapel/Anniesland,Glasgow Anniesland,779,2040,2560,2500,346,444,470,464
S01003716,Drumchapel North,Drumchapel/Anniesland,Glasgow Anniesland,66,106,168,186,57,66,89,100
S01003717,Drumry East,Drumchapel/Anniesland,Glasgow Anniesland,93,127,136,99,79,79,79,61
S01003718,Drumry East,Drumchapel/Anniesland,Glasgow Anniesland,115,284,248,302,96,151,122,146
